【朝比奈真冬 - 特典】

角色: 朝比奈真冬
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
196 | 2024-01-01 | 探寻我的内心深处 | 4 | pure | 窥见智慧 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no008/card_after_training.png
324 | 2024-01-01 | 初雪之中 | 4 | cute | 在我心里的未来 | 交织的旋律 点亮的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no014/card_after_training.png
511 | 2024-01-01 | 温柔的魔咒 | 4 | pure | 和大家一起吃可丽饼 | 逢此庆典 暮色亦染 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no020/card_after_training.png
637 | 2024-01-01 | 渐渐被切断的路 | 4 | cool | 夜已深，我却孤身一人 | 我们为了生存而逃避 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no025/card_after_training.png
786 | 2025-09-12 | 拾起的“心” | 4 | mysterious | 温暖的饭桌 | 水底寻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no029/card_after_training.png
880 | 2024-01-01 | 泡沫的安宁 | 4 | happy | 转瞬即逝却挥之不去的心愿 | Relax Teatime | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no034/card_after_training.png
988 | 2025-08-27 | 猫耳妖怪领路人 | 4 | cool | 另一位参加者 | Wonderhorror～？！的试胆！ | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no038/card_after_training.png
1105 | 2026-01-31 | 在宁静的图书室 | 4 | happy | 为了表达谢意 | 在这针线中寄托心意 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no043/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no043/card_after_training.png
1162 | 2026-04-30 | 温暖的时光 | 4 | mysterious | 时刻感受大家的陪伴 | 于是，指针开始转动 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no045/card_after_training.png
1186 | 2026-06-09 | 交相辉映的笑容 | 4 | cute | 拼拼图 | 置身于泡沫的环绕 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no046/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no046/card_after_training.png
