【宵崎奏 - 卡面】

姓名: 宵崎奏
登场卡面数: 46

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 被音乐之神眷顾的少女 | 1 | mysterious | 要是不吃东西也能活就好了 | 
2024-01-01 | 25点，Nightcord见。 | 2 | cute | 命运共同体 | 
2024-01-01 | 屏幕的另一边…… | 3 | happy | 作曲比吃饭重要 | 
2024-01-01 | 栩栩如生 | 4 | cool | 努力挣扎，总有一天…… | 被囚禁的提线木偶
2024-01-01 | 将心愿化作旋律…… | 4 | happy | 我不是不需要 | 饱和不了的黯淡色彩
2024-01-01 | 重温旧梦 | 4 | mysterious | 照亮黑暗的光芒 | 
2024-01-01 | 今春与你共赏…… | 2 | cool | 心中萦绕的歌声 | 在樱花烂漫的世界中与你高歌
2024-01-01 | 虚幻与美丽 | 3 | pure | 房间里的异响 | Secret Distance
2024-01-01 | 回忆中的花坛 | 4 | mysterious | 花卉疗法 | 珍藏在心中的康乃馨
2024-01-01 | 笨拙的下午茶 | 2 | pure | 来自真冬的道谢 | 光之幻影
2024-01-01 | 音乐为我展现的世界 | 3 | mysterious | 闪耀的歌声 | 缤纷粉丝节！
2024-01-01 | 倒吊少女眼中的世界 | 4 | cute | 天才的耳朵 | 我的足迹 你的止境
2024-01-01 | 一如往常的拉面 | 3 | cool | 安稳的时间 | 交织的旋律 点亮的温暖
2024-01-01 | 散发微光的厄尔庇斯 | 4 | pure | 今后也要四个人一起 | 总有一天，会从绝望的深渊
2026-02-09 | Happy Birthday！！Flower | bd | cool | 回忆中的特别拼盘 | 
2024-01-01 | 找到最佳旋律的瞬间 | 4 | cool | 随时都可以依靠我 | 在空白的画布上描绘自我
2024-01-01 | 不要松开紧握的手 | 2 | mysterious | 无论多少次，我都会找到你 | 牵起迷失的孩子，前方等待的是
2024-01-01 | 用这一球……！ | 4 | happy | 瞬息万变的聊天内容 | 大家一起欢享！SPOJOYPARK
2024-01-01 | 眯眼感受朝阳 | 4 | cute | 第一次在咖啡厅干活 | 现在再次绑上蝴蝶结
2024-01-01 | 连接友谊的桥梁 | 2 | happy | 不是可乐饼而是番茄炖蔬菜 | 绘出自我♪RAINBOW CANVAS
2024-01-01 | 这条街上最受欢迎的专卖店 | 4 | mysterious | 过去与现在的差异…… | 祈愿，终有一天跨越黎明
2024-01-01 | 为了大家传递出去 | 4 | cool | 照亮那心灵的是 | 蜡烛的芬芳萦绕于往昔的回忆
2026-02-09 | Happy Birthday！！Stamp | bd | pure | 运动乐园回归！ | 
2024-01-01 | 点燃决心 | 4 | pure | 在身旁，将这份温暖 | 难以弥合·分歧
2024-01-01 | 给我温暖的人 | 4 | pure | 并不孤单的餐桌 | 给在我身边温柔的你
2024-01-01 | 温柔安抚颤抖的身影 | 4 | mysterious | 等待引发的焦躁 | 向戴着面具的我告别
2025-02-28 | Brand New Style | 2 | pure | 将理所当然视作理所当然 | 
2025-02-28 | 在教室的开学典礼 | 4 | cute | 带来动力的歌 | Hello·Good·Day！
2025-09-12 | 让心愿和她交织在一起 | 4 | pure | 仍需适应的同住生活 | 水底寻影
2026-02-07 | feat.毛毯熊莫普 | 2 | cute | 超级室内派 | 
2024-01-01 | 回忆中温柔的音色 | 4 | happy | 魔法的花田 | 将那天，演奏的音乐
2026-02-09 | Happy Birthday！！2025 | bd | happy | 奏响的祝福旋律 | 
2024-01-01 | 为你而泡的一杯茶 | 4 | happy | 茶会的收获 | Relax Teatime
2025-04-28 | 不习惯的早起 | 3 | cute | 头发睡得乱糟糟 | Knowing the Unseen
2025-06-29 | 愿今晚平静安宁 | 2 | mysterious | 特别的茶 | 揽灯近前
2025-07-05 | 找回回忆 | 4 | cute | 哪怕已经破碎 | 
2025-08-06 | 试炼！吹嘴 | 4 | mysterious | 你手中的运气 | 奏响美妙乐音！
2025-10-11 | 被遗忘的事 | 2 | cool | 大家一起变身SHOW！ | 荆棘之路通往何处
2025-11-30 | 尚且一无所知 | 3 | mysterious | 因为是重要的伙伴 | 用我们，布满伤痕的双手
2025-10-24 | Let's enjoy the movie！ | 2 | happy | 得小心别撒出来了 | 
2026-01-21 | 镜中陌生的我 | 4 | cool | 功能性出众 | Show your shine
2026-02-09 | Happy Birthday！！2026 | bd | cute | 好友相伴 | 
2026-03-20 | 无形之声 | 4 | cool | 心中涌现的情感 | Unreliable Notes
2026-04-30 | 变得空荡荡的房间 | 4 | mysterious | 尽我所能 | 于是，指针开始转动
2026-06-09 | 片刻的休息时光 | 4 | pure | 挑战一下吧 | 置身于泡沫的环绕
2026-08-22 | 感兴趣的服装是？ | 3 | pure | 感受倾注的心意 | 向无法解开的明天伸手
