【暁山瑞希 - 特典】

角色: 暁山瑞希
分类: 特典
数量: 13

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
307 | 2021-10-31 | ハーミット・リバース | 4 | cute | 待たれる側に | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no013/card_after_training.png
387 | 2022-02-28 | メイキング・ウィズ・チルドレン | 4 | mysterious | 友のためのチョコデザイン | 怪盗紳士のハラハラ！？ホワイトデー | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no015/card_after_training.png
564 | 2022-12-31 | ソリトゥスユートピア | 4 | happy | 楽園と引き換えに得るものは |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no022/card_after_training.png
636 | 2023-04-30 | ボクだから言えること | 4 | cool | 今日の笑顔は誰のため | ボク達の生存逃走 | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no024/card_after_training.png
691 | 2023-07-31 | 盛りつけは順調！ | 4 | mysterious | あの兄にしてこの妹あり？ | ドタバタ cafe ●REC!! | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no027/card_after_training.png
788 | 2023-11-08 | 来てくれないとヤダ！ | 4 | happy | 息抜きしようよ♪ | 水底に影を探して | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no031/card_after_training.png
842 | 2023-12-31 | 優しさに励まされて | 4 | mysterious | ボク達のおまじない | 変わらぬあたたかさの隣で | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no033/card_after_training.png
1040 | 2024-11-30 | こぼれた想い | 4 | cool | たくさんの夢を、共に | 傷だらけの手で、私達は | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no039/card_after_training.png
1188 | 2025-06-09 | カワイイをご案内 | 4 | happy | 安らげる場所 | 泡沫に抱かれて | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no045/card_after_training.png
1257 | 2025-09-30 | とびきりの笑顔を中継！ | 4 | pure | 仲間と重ねる思い出 | Our Golden Days | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no049/card_after_training.png
1329 | 2026-01-31 | 楽しい腹の探り合い | 4 | cute | 嘘じゃないよ？ | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no051/card_after_training.png
1399 | 2026-05-31 | 小さなキミとのささやかな時間 | 4 | happy | 止まらないお喋り | 最果てへと飛ぶキミへ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no053/card_after_training.png
1432 | 2026-07-19 | 重なる想いと過去 | 4 | happy | セカイのカイト事情？ | 君の隣、君と見る明日 | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no055/card_after_training.png
