【日野森雫 - 卡面】

姓名: 日野森雫
登场卡面数: 47

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 美丽的当红偶像 | 1 | cute | 这是什么地方？ | 
2024-01-01 | MORE MORE JUMP！ | 2 | mysterious | 希望将来能挺起胸膛 | 
2024-01-01 | 在华丽的舞台上 | 3 | happy | 我想成为的偶像是…… | 
2024-01-01 | 我想成为的是…… | 3 | cool | 我们四个一定要做到 | 此时此地再次启程！
2024-01-01 | 世上独一无二的“我” | 4 | cool | 做真实的自己 | Color of Myself!
2024-01-01 | 喵～？ | 4 | happy | 愿能助你一臂之力 | 传递心声！充满希望的舞台♪
2024-01-01 | 邀你享受闲暇时光 | 4 | mysterious | 休息一会儿怎么样？ | 为努力的你营造闲暇时光！
2024-01-01 | 秘密交涉 | 3 | cute | 唱响那时无法演唱的歌 | Happy lovely everyday!
2024-01-01 | 再次品尝那天的团子 | 4 | cute | 这次换我来支持你 | 两人与月兔
2024-01-01 | 菲尼乐园的夜晚约会 | 2 | cute | 今后也要创造很多回忆 | 搭档·趣事·欢乐时刻♪
2025-12-05 | Happy Birthday！！Flower | bd | cool | 两只亲密的文鸟 | 
2024-01-01 | 尝尝我亲手做的饭团吧♪ | 4 | mysterious | 给大家的礼物 | MOREMOREMakingXmas
2024-01-01 | 情人节淑女 | 2 | pure | 名侦探的推理能力？ | 秘密♡情人节大作战！
2024-01-01 | 宛如魔法 | 4 | pure | 从“心愿”中诞生的服装 | Cast Spell on You
2024-01-01 | 完成报告！ | 2 | happy | 看看你的面相？！ | 连接Painful Hope
2024-01-01 | 抓紧我别跌倒 | 4 | pure | 最佳护花使者的秘诀是？ | 向晴空许愿Your Happiness!
2024-01-01 | 是掉地上了吗？ | 4 | cool | 你一直是我的偶像 | 在蓝天下追逐光芒
2024-01-01 | 吃豆沙包放松一下♪ | 4 | pure | 天降好运？ | 逢此庆典 暮色亦染
2024-01-01 | 激动人心的开箱♪ | 3 | mysterious | 开心地检查周边？ | 致过去的我
2024-01-01 | 看清未来 | 2 | cool | 热切地注视 | 昨日梦想的延续
2025-12-05 | Happy Birthday！！Stamp | bd | cute | 主办人是步步♪ | 
2024-01-01 | 专心射出每一支箭 | 4 | cute | 雪兔增加的谜团？！ | 在纯白世界拉弓引箭
2024-01-01 | 和不中用的自己告别 | 4 | happy | 自己的话语传达的想法 | 解开的心结之后
2024-01-01 | 活力满满地方外景！ | 4 | cute | 我也想分享快乐的时间 | Re-tie Friendship
2024-01-01 | 中午的学习会 | 3 | pure | 和同学的距离 | STEP by STEP！
2024-01-01 | 违反季节的飞雪 | 4 | happy | 带回大量的伴手礼和回忆 | 一期一会的百鬼夜行？！
2025-02-28 | Brand New Style | 2 | pure | 虽然是多管闲事 | 
2024-01-01 | 带来梦想的手 | 4 | cool | 为了支持我们的你 | 那双手所引向的温暖
2026-02-07 | feat.许愿兔 | 2 | happy | 小迷糊与小呆萌 | 
2025-12-05 | Happy Birthday！！Dessert | bd | mysterious | “声音”传达的消息 | 
2024-01-01 | 不能忘却的昔日之蝶 | 4 | mysterious | 不要弄丢任何一块碎片 | 
2024-01-01 | 开心地设计 | 2 | cool | 孤单的是哪一边？ | 刻下的伤痕，总有一天
2025-05-19 | 指尖所触碰的事物 | 4 | mysterious | 把危机转为机遇 | 总有一日，登上鲜花盛放的舞台
2025-06-22 | 用饭菜为大家送上活力♪ | 4 | cool | 健康委员的工作！ | Lead to shine more
2025-07-30 | 特别的咒语 | 4 | cute | 想要成为魔鬼教官！ | Chase my IDEAL IDOL！
2025-08-27 | 寄托心意的一针 | 3 | mysterious | 冰凉的手掌，温暖的心 | Wonderhorror～？！的试胆！
2025-11-10 | 与你最幸福的一刻 | 4 | mysterious | 葡萄有趣的吃法？ | 又到秋叶染色之时
2025-12-05 | Happy Birthday！！2025 | bd | happy | 帮忙办点事！ | 
2025-12-11 | 坚定决心的光芒 | 4 | happy | 围在一起庆祝 | Grow glorious glow
2025-10-24 | Let's enjoy the movie！ | 2 | cute | 这是同款的花纹，怎么样？ | 
2026-01-31 | 迷恋刺绣之花 | 4 | happy | 偶尔也要享受平静的时间 | 在这针线中寄托心意
2026-02-10 | 试用护肤品 | 3 | cool | MORE MORE彩排！ | Rise and Strive
2026-05-23 | 为努力的大家献上治愈 | 2 | mysterious | 联系在一起的接力棒 | Cheer with my Heart!
2026-07-23 | 让人安心的早饭 | 4 | pure | 特殊导航 | start rolling! stars' crossing
2026-08-08 | 完美的微笑 | 4 | pure | 热闹地聊起回忆 | All ways Jump! with you
2026-08-15 | feat.芙朵吉 | 2 | pure | 用花打扮 | 
2026-10-21 | 与过去重合的景色 | 4 | mysterious | 寄托心意的来信 | 交织的色彩一如当初
