【青柳冬弥 - 4星】

角色: 青柳冬弥
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
165 | 2021-01-31 | いつの日か、また…… | 4 | mysterious | 言う必要のない言葉 | Period of NOCTURNE | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no007/card_after_training.png
187 | 2021-03-10 | きょうだいの絆 | 4 | pure | 出会いの思い出 | 天馬さんちのひな祭り | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no008/card_after_training.png
227 | 2021-05-31 | あなたに捧げる愛の歌 | 4 | cute | 広がっていく世界 | 純白の貴方へ、誓いの歌を！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no010/card_after_training.png
297 | 2021-10-11 | 信頼への信頼 | 4 | cool | いつもどおりに | Bout for Beside You | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no012/card_after_training.png
341 | 2021-12-20 | アウトドアクッキング！ | 4 | pure | 湧き水でコーヒーを | Same Dreams,Same Colors | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no013/card_after_training.png
374 | 2022-02-09 | 胸の高鳴りを言葉に | 4 | mysterious | 原点を知る | Legend still vivid | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no014/card_after_training.png
403 | 2022-03-30 | のみこんでしまっていた想い | 4 | happy | 今はまだ触れられなくても |  | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no015/card_after_training.png
477 | 2022-07-31 | 目にも留まらぬぷよ捌き | 4 | cute | こだわりのチーム名 | close game/OFFLINE | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no019/card_after_training.png
504 | 2022-09-20 | これから先もずっと | 4 | cool | 『俺達の音』を求めて | Walk on and on | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no020/card_after_training.png
552 | 2022-12-11 | 青柳家のクリスマスパーティー | 4 | happy | またひとつ思い出を胸に | Find A Way Out | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no021/card_after_training.png
600 | 2023-02-28 | 変わらないあたたかさの中で | 4 | mysterious | 胸に広がるぬくもり | Never Give Up Cooking！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no023/card_after_training.png
660 | 2023-06-10 | 彼我の差を知るために | 4 | cute | 寂しさの正体 | Light Up the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no025/card_after_training.png
696 | 2023-08-10 | 久しぶりのお見舞い | 4 | pure | 区切りの一杯 | On Your Feet | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no026/card_after_training.png
851 | 2024-01-09 | モノクロの彩 | 4 | cool | かつて見たウィーンの街並み | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no031/card_after_training.png
890 | 2024-03-22 | 枷は、鍵に | 4 | happy | 違う道を歩いていても | The first concerto | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no033/card_after_training.png
917 | 2024-04-30 | 怖いという感情 | 4 | cool | あの日のまぶしさを、今 | Whip the wimp girl!! | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no034/card_after_training.png
973 | 2024-08-09 | 憧れを共に | 4 | mysterious | 想定外の笑顔 | 鳴らせビューティフルサウンド！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no037/card_after_training.png
1008 | 2024-09-30 | 放課後のちょっとした手伝い | 4 | pure | 共通認識と共通言語 | 想いをのせて！Dream Stage | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no038/card_after_training.png
1065 | 2025-01-11 | 異国の街角で | 4 | happy | 思いがけない家族の話 | Time to take off！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no041/card_after_training.png
1154 | 2025-04-08 | 煌めく記憶を辿って | 4 | cool | 『おはよう！』 | Turning Pain into Drive | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no044/card_after_training.png
1181 | 2025-05-31 | 美味しい文化交流 | 4 | cute | ありがとうを形にして | Aim higher and higher！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no046/card_after_training.png
1214 | 2025-07-31 | 最高のお土産を！ | 4 | happy | 真髄はまだ遠い | Competitive fire！ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no047/card_after_training.png
1310 | 2025-12-31 | 読み聞かせは前途多難 | 4 | cool | 胸が高鳴るお神輿デビュー | 新年言祝ぐ、祈りの舞 | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no049/card_after_training.png
1320 | 2026-01-21 | 燃え上がる闘志 | 4 | pure | 香ばしいリラックスタイム | GO ALL OUT | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no050/card_after_training.png
1388 | 2026-05-08 | 丁寧な一杯 | 4 | pure | 心を尽くしたメッセージ | Stay solid, No fold | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no053/card_after_training.png
1415 | 2026-06-30 | 一緒に帰ろう | 4 | mysterious | 小さな冬弥のお願い | アイドル・花里みのり～夢の最前線～ | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no055/card_after_training.png
1430 | 2026-07-19 | 願いのレシーブ | 4 | mysterious | カチコミ待ったなし？ | 君の隣、君と見る明日 | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no056/card_after_training.png
1466 | 2026-09-06 | 初めて分かち合う喜び | 4 | happy | クマタローをよろしく | After the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no057/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res012_no057/card_after_training.png
