【神代类 - 4星】

角色: 神代类
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
119 | 2024-01-01 | 意想不到的肺腑之言 | 4 | happy | 尽情发挥 | 全力以赴！奇幻万圣节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no005/card_after_training.png
182 | 2024-01-01 | 心底的烈火 | 4 | mysterious | 为了守护笑容 | 梦想家的笑容 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no008/card_after_training.png
228 | 2024-01-01 | 梦幻策划人 | 4 | cute | 最优秀的演员们 | 为纯白的你唱响誓言之歌！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no010/card_after_training.png
270 | 2024-01-01 | 后台的炼金术师 | 4 | pure | 有一丝寂寞 | 对美人鱼充满憧憬 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no011/card_after_training.png
301 | 2024-01-01 | 昔日的憧憬 | 4 | happy | 欢迎来到我家！ | 重燃的梦想 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no012/card_after_training.png
349 | 2024-01-01 | 无尽的想象与挑战 | 4 | cool | 现在才能相信的话语 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no013/card_after_training.png
412 | 2024-01-01 | 欣赏你的态度 | 4 | cute | 等待星星闪耀光芒 | 在璀璨耀眼的舞台上 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no015/card_after_training.png
428 | 2024-01-01 | 照亮黄昏的光辉 | 4 | cool | 演员们已齐聚一堂 | 白热！神高应援团！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no016/card_after_training.png
514 | 2024-01-01 | 点醒的话语 | 4 | pure | 大家一起负责拿椅子 | 逢此庆典 暮色亦染 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no019/card_after_training.png
522 | 2024-01-01 | 晚风吹拂 | 4 | cool | 没什么大不了的事 | 惜别谢幕 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no020/card_after_training.png
