【神代類 - カード】

名前: 神代類
カード枚数: 55

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | マイペースな天才演出家 | 1 | mysterious | お望みのものだよ | 
2020-09-29 | ワンダーランズ×ショウタイム | 2 | pure | できてからのお楽しみさ | 
2020-09-29 | 神出鬼没なパフォーマー | 3 | happy | いいショーにしようじゃないか | 
2020-10-31 | 思わぬ指摘 | 4 | happy | 思う存分に | 全力！ワンダーハロウィン！
2020-12-20 | ぐっすりナイト | 3 | pure | 僕達の強み | 聖なる夜に、この歌声を
2021-02-09 | マッドネス・ケモケモ | 2 | cool | 普通じゃないほうが逆に普通 | 響くトワイライトパレード
2021-02-28 | 内なる烈火 | 4 | mysterious | 笑顔のために | スマイルオブドリーマー
2021-05-10 | 止まらぬ構想と暴走 | 3 | cute | 孤独を知る君へ | お悩み聞かせて！わくわくピクニック
2021-05-31 | ファンタスティックプランナー | 4 | cute | 最高のキャスト達 | 純白の貴方へ、誓いの歌を！
2021-08-20 | 舞台裏の錬金術師 | 4 | pure | ほんの少しの寂しさ | マーメイドにあこがれて
2021-10-21 | 在りし日の憧憬 | 4 | happy | ようこそ僕の家へ！ | Revival my dream
2021-12-31 | 果てのない想像と挑戦 | 4 | cool | 今だから信じられる言葉 | 
2022-01-12 | レインボー☆キャスト | 2 | mysterious | 五感を刺激する演出 | POP IN MY HEART!!
2022-04-11 | その心意気を買って | 4 | cute | 星のひらめきを待って | まばゆい光のステージで
2022-05-10 | 黄昏の輝き | 4 | cool | そろった役者達 | 白熱！神高応援団！
2022-06-20 | サバイバルチャレンジ！ | 2 | cute | ひとりだけの食糧難？ | 絶体絶命！？アイランドパニック！
2022-06-24 | Happy Birthday！！ | bd | mysterious | 特別な“普通” | 
2022-09-30 | 投げかける言葉は | 4 | pure | みんなでイス係 | この祭に 夕闇色も
2022-10-21 | 夕風に吹かれて | 4 | cool | たいしたことじゃない話 | カーテンコールに惜別を
2023-01-10 | 負けるわけにはいかないね | 4 | mysterious | 心強い味方 | 夢の途中、輝く星たちへ
2023-02-28 | 唐突な試練 | 4 | mysterious | プレゼントには想いを込めて | Never Give Up Cooking！
2023-03-11 | 秘密兵器！フェニックスロボ | 3 | pure | もはや、ただのトリではない | 天の果てのフェニックスへ
2023-05-20 | いつだって相談にのるよ | 4 | pure | 後悔するより、できることを | カナリアは窮境に歌う
2023-06-23 | Happy Birthday！！2023 | bd | cool | サプライズの贈り合い | 
2023-06-30 | 心に、１枚の | 4 | happy | 思い出を詰めこめるように | 一期一会な百鬼夜行！？
2023-08-21 | 夜半の葛藤 | 3 | cool | よりふさわしい結末を | あたしたちのハッピーエンド
2023-09-20 | 夕暮れの語らい | 4 | cool | 内緒の思い出作り | Let's study hard！
2023-09-29 | Brand New Style | 2 | happy | 委員長の気づかい | 
2023-11-22 | くすぐられる好奇心 | 4 | mysterious | プロの情熱 | 君が主役の物語を
2023-12-05 | feat.ハンギョドン | 2 | pure | 笑顔になりたい人はどこかな？ | 
2024-01-23 | 漏れ聞こえる言葉 | 4 | happy | 名誉のエンドロール | 逆光のレンズフレア
2024-03-08 | お返しの挨拶 | 4 | cute | 新しいセカイ探検隊！ | 星を目指して、ヨーソロー！
2024-03-30 | 掘り出し物発見！ | 2 | cute | 鳴き声サンプル大募集！？ | Rise as ONE！
2024-05-23 | 天狗の太刀さばき | 3 | mysterious | 貪欲な演出家 | perspective for smile
2024-06-23 | Happy Birthday！！2024 | bd | happy | ピースフルピクニック | 
2024-07-09 | クールな悪役？ | 4 | pure | 小道具班で大活躍！ | お縄を頂戴！？天馬捕物帳
2024-09-30 | 宝物を見つめて | 4 | cute | あの日々があったから | 想いをのせて！Dream Stage
2024-11-20 | 海中ショーへご招待！ | 2 | mysterious | 一番の敵の名は | The Power Of Regret
2024-12-21 | サンタさんに会うぞ！大作戦 | 4 | pure | その笑顔のために | Special present for YOU！
2025-01-16 | Let's enjoy the movie！ | 2 | cool | 友人と見る映画もいいね | 
2025-02-15 | 魔法と発明が織りなすショー | 4 | mysterious | 一緒に、笑顔の魔法を | 
2025-02-20 | 演出家のこだわり | 2 | happy | 新機能をご覧あれ | 昔日のRead-aloud
2025-04-22 | 野菜押し付け現行犯 | 3 | happy | ファンの想い、ファンの力 | Choices for the future
2025-05-09 | 夢への一歩 | 4 | cute | 止まらないアイディア | Dear my fellows
2025-06-23 | Happy Birthday！！2025 | bd | pure | 思いがけない誕生日 | 
2025-07-07 | 憧れまでの距離 | 4 | happy | 仲間への感謝を胸に | Deeper and deeper
2025-08-30 | 想いを込めた小道具作り | 4 | cool | 夢に繋がる一歩 | Deep Dark For Light
2025-09-19 | feat.ござるっち | 2 | cool | 特徴的な笑顔？ | 
2025-11-10 | あふれ出るアイディア | 2 | pure | ありがとうにありがとうを | 超克のプロタゴニスタ
2026-01-31 | 魔法使いの真骨頂 | 3 | cute | 運命的な出会い | 粉砕せよ！アンヴァレンタインの復讐
2026-02-19 | 宇宙でドタバタシューティング！ | 4 | mysterious | 笑顔溢れる実験タイム | CHANGE！えむは王女さま！？
2026-03-30 | 思い描いたその画が | 4 | cool | お部屋掃除の救世主？ | 残照のInside Direction
2026-06-19 | Happy Birthday！！2026 | bd | cute | 想像を超えたサプライズ | 
2026-06-20 | 憂いの先 | 4 | pure | 次に繋がるもの | Phantom maze monster
2026-07-19 | 心の濁り | 4 | cute | セカイに関する分析と考察 | 君の隣、君と見る明日
