【朝比奈まふゆ - 新制服】

角色: 朝比奈まふゆ
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
834 | 2023-12-20 | こぼれた本音 | 4 | happy | これでよかったと信じて | あの日、奏でた音色を | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no031/card_after_training.png
845 | 2023-12-31 | 少しだけ、足を伸ばして | 3 | mysterious | 賑やか年越しパーティー | 変わらぬあたたかさの隣で | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no032/card_after_training.png
904 | 2024-04-10 | 穏やかな身支度 | 4 | pure | 胸に残る“光” | Knowing the Unseen | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no035/card_after_training.png
943 | 2024-06-20 | あたたかい手 | 4 | pure | なんでもない時間がくれるもの | 灯を手繰りよせて | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no036/card_after_training.png
976 | 2024-08-09 | 思いがけないペアチケット | 3 | pure | 音楽がもたらす平穏 | 鳴らせビューティフルサウンド！ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no037/card_after_training.png
1014 | 2024-10-12 | 本気のイカ焼きを味わって | 3 | cool | 穏やかなひと時 | 荊棘の道は何処へ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no039/card_after_training.png
1043 | 2024-11-30 | 待ち人は遠く | 2 | pure | 生存逃走の末に | 傷だらけの手で、私達は | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no040/card_after_training.png
1140 | 2025-03-20 | 静寂のキッチン | 4 | cool | 混沌の胸中 | Unreliable Notes | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no044/card_after_training.png
1227 | 2025-08-22 | お返し探し | 2 | mysterious | 『正解』よりも、心で | ほどけぬ明日に手を伸ばして | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no047/card_after_training.png
1276 | 2025-10-31 | 徹夜を案じて | 2 | cool | 当たり前じゃなくなったら？ | Colors of Pure Sense | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no048/card_after_training.png
1295 | 2025-12-10 | 思い出を手に取って | 4 | happy | みんなの想いに包まれて | ともに、トゥルールートを目指して | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no049/card_after_training.png
1319 | 2026-01-11 | 見守るしかできないけれど | 2 | happy | ひと手間かける理由 | 覚めない幻想をノックして | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no050/card_after_training.png
1359 | 2026-03-20 | ミクとだからわかること | 3 | cute | 胸をあたためるもの | Amid the Wavering Light | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no052/card_after_training.png
1423 | 2026-07-09 | 指先なぞる思い出 | 4 | mysterious | 夏の醍醐味 | 褪せない今を、彩って | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no055/card_after_training.png
