【暁山瑞希 - 4星】

角色: 暁山瑞希
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
139 | 2020-12-10 | 屋上のフレンドシップ | 4 | mysterious | 次は一緒に…… | KAMIKOU FESTIVAL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no006/card_after_training.png
202 | 2021-04-11 | 気づいてしまった想い | 4 | cute | また屋上で | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no008/card_after_training.png
219 | 2021-05-10 | 想いと現実の狭間で | 4 | pure | 屋上という居場所 | お悩み聞かせて！わくわくピクニック | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no009/card_after_training.png
285 | 2021-09-21 | ひとときの安息 | 4 | happy | 進むことへの怖さ | 灯のミラージュ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no012/card_after_training.png
307 | 2021-10-31 | ハーミット・リバース | 4 | cute | 待たれる側に | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no013/card_after_training.png
363 | 2022-01-21 | 当たり前になった打ち上げ | 4 | pure | 大切だと思える時間 | いつか、絶望の底から | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no014/card_after_training.png
387 | 2022-02-28 | メイキング・ウィズ・チルドレン | 4 | mysterious | 友のためのチョコデザイン | 怪盗紳士のハラハラ！？ホワイトデー | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no015/card_after_training.png
429 | 2022-05-10 | お先に失礼！ | 4 | cool | 託された炎 | 白熱！神高応援団！ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no017/card_after_training.png
446 | 2022-06-10 | 怖くないよ | 4 | cool | みんなで迎えに | 迷い子の手を引く、そのさきは | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no018/card_after_training.png
486 | 2022-08-20 | 勇気をくれたもの | 4 | cute | 『今』を届けるレター | そしていま、リボンを結んで | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no019/card_after_training.png
564 | 2022-12-31 | ソリトゥスユートピア | 4 | happy | 楽園と引き換えに得るものは |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no022/card_after_training.png
614 | 2023-03-21 | 気晴らしショッピング | 4 | pure | あの日のように、また４人で | イミシブル・ディスコード | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no023/card_after_training.png
636 | 2023-04-30 | ボクだから言えること | 4 | cool | 今日の笑顔は誰のため | ボク達の生存逃走 | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no024/card_after_training.png
691 | 2023-07-31 | 盛りつけは順調！ | 4 | mysterious | あの兄にしてこの妹あり？ | ドタバタ cafe ●REC!! | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no027/card_after_training.png
721 | 2023-09-20 | ふたりで寄り道 | 4 | cool | 手作りノートのお返しに | Let's study hard！ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no029/card_after_training.png
788 | 2023-11-08 | 来てくれないとヤダ！ | 4 | happy | 息抜きしようよ♪ | 水底に影を探して | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no031/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no031/card_after_training.png
