【镜音连 - 卡面】

姓名: 镜音连
登场卡面数: 49

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 迸发的强大力量！ | 1 | happy | 麦克风接力！ | 
2024-01-01 | 街头「世界」 | 2 | mysterious | 我是DJ哦，DJ！ | 
2024-01-01 | 困难的“和好” | 3 | happy | 早点说出来就好了 | 
2024-01-01 | 新团员登场！ | 4 | cool | 从今天起我也是剧团的一员了！ | 
2024-01-01 | 最棒最强的搭档？！ | 4 | pure | 想了解大家如何度过新年 | 「世界」的Happy New Year！
2024-01-01 | 感伤的旋律 | 2 | cute | 完美无缺的心愿 | Period of NOCTURNE
2024-01-01 | 用最擅长的方法！ | 3 | happy | 波姆波姆波♪ | 梦想家的笑容
2024-01-01 | 闪闪发光的好奇心☆ | 4 | cute | 默默努力不会白费 | 为纯白的你唱响誓言之歌！
2024-01-01 | 我的舞鞋！ | 4 | cool | 大家一起跳舞吧！ | 夏日庆典，那响彻云霄的声音
2024-01-01 | 舞台上的王子殿下 | 4 | mysterious | 邀请参加特别演唱会！ | Happy lovely everyday!
2024-01-01 | 明明是我的搭档 | 3 | cute | 因为想成为最棒的搭档 | Bout for Beside You
2024-01-01 | 碰撞心愿的坚强 | 2 | happy | 特训要适度 | 矢志不摇的心愿，此刻以话语传达
2026-05-01 | 双生子侍从 | 4 | happy | 面对“家人”的内心纠葛 | 
2025-12-26 | Happy Anniversary！！Flower | bd | pure | 远超两倍的祝福 | 
2024-01-01 | 难以抑制的好奇心 | 4 | mysterious | 现在开始特训！ | Legend still vivid
2024-01-01 | 圣洁的侍从骑士 | 2 | cool | 靠比划手势沟通 | 慌慌张张？！怪盗绅士的白色情人节
2024-01-01 | 在春色甜点的包围下 | 4 | happy | 寻找，最佳赏花地点！ | 「世界」之樱，相连的心愿
2024-01-01 | 腼腆的招呼 | 4 | cool | 充满期待的心情 | 牵起迷失的孩子，前方等待的是
2024-01-01 | 放学后的小憩 | 4 | cute | 即使无法打动任何人 | No seek No find
2024-01-01 | 我眼中最酷炫的表现！ | 3 | cool | 摇滚与摩托车以及熬夜还有咖啡 | 绘出自我♪RAINBOW CANVAS
2024-01-01 | 各自的方法 | 2 | pure | 不动声色的守护 | 祈愿，终有一天跨越黎明
2025-12-26 | Happy Anniversary！！Stamp | bd | happy | “快乐”的策划者！ | 
2024-01-01 | 充满欢乐的宝箱 | 4 | mysterious | 为了让你振作起来 | 梦想的旅途，奔向闪耀的群星
2024-01-01 | 将寄托的心愿化为现实 | 2 | cute | 一起选择的香氛 | 蜡烛的芬芳萦绕于往昔的回忆
2024-01-01 | 为你发出的声援 | 4 | cute | 勇气的礼物 | 
2024-01-01 | 倾注在蝴蝶结中的关怀 | 3 | pure | 连结的心愿 | 我们为了生存而逃避
2024-01-01 | 只有我们才能说的事 | 4 | cool | 真诚地对待 | STEP by STEP！
2024-01-01 | 寄托心愿的演奏 | 4 | cute | 为了在职业路上奋斗的大家 | 响彻「世界」！Your Song
2025-02-28 | Origin Style | 2 | mysterious | 传递到全世界！ | 
2025-02-28 | Brand New Street | 2 | happy | Let's 拼命特训？！ | 
2024-01-01 | 对旅行的期待 | 3 | cute | 温泉馒头的秘密 | 那双手所引向的温暖
2024-01-01 | 崇拜的主角 | 4 | pure | 我想扮演英雄！ | 最棒的杀青！
2026-02-07 | feat.双子星 | 2 | cool | 祝你做个好梦 | 
2025-12-26 | Happy Anniversary！！Dessert | bd | mysterious | 富有创意的祝贺 | 
2025-06-12 | 为了能帮到大家 | 2 | pure | 在「世界」捉迷藏！ | BREAK DOWN THE WALL
2025-04-28 | 有趣的个展 | 4 | pure | 会传染的焦躁 | Knowing the Unseen
2025-05-29 | 一起特训！ | 4 | cute | 来演古装剧吧！ | perspective for smile
2025-06-22 | 让个性更加出彩 | 2 | pure | 看电视！ | Lead to shine more
2025-08-13 | 在哪里都是最棒的搭档 | 4 | happy | 「世界」里平常的一天 | 和你在「世界」的起点
2025-09-22 | 被气泡水包围 | 4 | mysterious | 不同元素的奇妙结合 | This moment with you！
2025-11-20 | 为☆你☆加油！ | 4 | pure | 在「世界」举办演技大赛？！ | The Power Of Regret
2025-12-26 | Happy Anniversary！！2025 | bd | cute | 心跳不已默契游戏！ | 
2026-01-11 | 丰盛的早餐 | 4 | happy | 飞机上怎么打发时间？ | Time to take off！
2025-10-24 | Let's enjoy the movie！ | 2 | happy | 看！我买到好位置了！ | 
2026-01-31 | 为你送上最棒的爱心 | 4 | happy | 王子殿下的感谢之情 | 在这针线中寄托心意
2025-12-19 | 活力四射的偶像风格 | 2 | cute | 激动人心的旋律 | 
2026-04-30 | 伴你度过苦痛 | 4 | mysterious | 在「世界」默默守护的人们 | 于是，指针开始转动
2026-08-22 | 分享美味 | 4 | happy | 一起吃“椒盐圈饼” | 向无法解开的明天伸手
2026-09-06 | 双手捧满的零食 | 4 | mysterious | “不可思议”的前兆？ | Link the Beats！
