【草薙寧々 - カード】

名前: 草薙寧々
カード枚数: 54

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2020-09-29 | 毒舌コミュ障 | 1 | cool | 集中できない… | 
2020-09-29 | ワンダーランズ×ショウタイム | 2 | cool | ネネロボがいてくれたから | 
2020-09-29 | 舞台裏から操作中 | 3 | pure | 愉快でおかしな仲間達！ | 
2020-10-31 | ワンダーステッキ | 2 | mysterious | 大事な友達 | 全力！ワンダーハロウィン！
2020-12-10 | アニマルコットンキャンディ♪ | 3 | mysterious | い……いらっしゃいませ | KAMIKOU FESTIVAL！
2020-12-20 | 空からの贈り物 | 4 | cute | 楽しいバカ騒ぎ | 聖なる夜に、この歌声を
2021-02-28 | 想いのメッセンジャー | 4 | mysterious | 笑っててほしい | スマイルオブドリーマー
2021-06-11 | あなたがくれた自信 | 4 | cool | これからを大事に | ワンダーマジカルショウタイム！
2021-08-20 | 打ち上げは花火で | 4 | pure | 勇気をくれた歌 | マーメイドにあこがれて
2021-10-21 | 人見知りな来訪者 | 4 | happy | 新しいチャレンジ | Revival my dream
2021-12-31 | きらびやかな夢の舞台 | 4 | mysterious | いつか胸を張って言える答えを | 
2022-01-12 | 死ぬかと思った | 3 | happy | みんなへのお土産 | POP IN MY HEART!!
2022-04-11 | 子リス達のお誘い | 4 | cute | ちょっとは信頼してるから | まばゆい光のステージで
2022-06-20 | 遊びのお礼に | 4 | happy | アドレス帳、危機一髪！？ | 絶体絶命！？アイランドパニック！
2022-07-19 | Happy Birthday！！ | bd | pure | かけがえのないバカバカしい日々 | 
2022-07-31 | 標的は逃がさない | 4 | cute | 好きなものこそわかちあって | close game/OFFLINE
2022-10-21 | 幼馴染みのまなざし | 4 | cool | 初めての差し入れ | カーテンコールに惜別を
2022-12-31 | ドライブGO！GO！ | 3 | cute | 大切な今年の目標 | 新春！ 獅子舞ロボのお正月ショー！
2023-01-10 | 自分で得られる学びを | 2 | happy | コミュニケーションのハードル | 夢の途中、輝く星たちへ
2023-01-31 | 相手をイメージして | 4 | cool | 喜んでくれるかな……？ | キャンドルの香りは思い出と共に
2023-03-11 | 思い知らされた差 | 4 | cute | それでも、まだ…… | 天の果てのフェニックスへ
2023-03-30 | カナリアに近づくために | 3 | pure | キラキラぐいぐいのワケ | 交響する街の片隅で
2023-05-11 | 離れていても、そっと背中を | 2 | pure | おそろいの青い小鳥 | 船出の前のワンデイトリップ
2023-05-20 | 足りてないわたしだから | 4 | pure | 応援を力に変えて | カナリアは窮境に歌う
2023-07-19 | Happy Birthday！！2023 | bd | mysterious | 友達に囲まれた誕生日 | 
2023-08-21 | 悲しみも全部 | 4 | happy | ライバルとして、友として | あたしたちのハッピーエンド
2023-09-29 | Brand New Style | 2 | cute | 仲良くなれますように | 
2023-11-22 | 緊張の門出？ | 2 | happy | わたしなりのアドバイス | 君が主役の物語を
2023-11-30 | 最高の映画のために | 4 | pure | 打ち上げをしよう！ | 最高のクランクアップ！
2023-12-05 | feat.ウサハナ | 2 | cool | 舞台で会いましょ♪ | 
2024-01-23 | 準備も慣れたもの | 4 | happy | 映画との縁？ | 逆光のレンズフレア
2024-03-08 | 憧れに向かって | 4 | mysterious | 悔しさも怖さも | 星を目指して、ヨーソロー！
2024-05-23 | 常盤御前の想いを知るために | 2 | mysterious | 体力づくりを教えて！ | perspective for smile
2024-05-31 | 願いのドレスへ | 4 | mysterious | そわそわな待ち合わせ | みんなで配信♡WEDDING LIVE！
2024-07-09 | 江戸の町並みに飲まれて | 2 | cute | ゲームと同じくらい…… | お縄を頂戴！？天馬捕物帳
2024-07-19 | Happy Birthday！！2024 | bd | cool | 誕生日会にようこそ！ | 
2024-09-30 | 夢をのせたメロディー | 4 | pure | 慣れってすごい | 想いをのせて！Dream Stage
2024-11-20 | 揺るぎない瞳 | 4 | pure | いろいろな信頼の形 | The Power Of Regret
2025-01-16 | Let's enjoy the movie！ | 2 | pure | 映画館といえばこれだよね | 
2025-02-20 | スクリーンに映る尻尾 | 4 | cute | 努力を重ねた先に | 昔日のRead-aloud
2025-03-10 | かわいいを身につけて | 3 | cool | 忘れられない思い出に | You are my HERO!!
2025-04-22 | ステップに想いをのせて | 4 | mysterious | 小さな成長 | Choices for the future
2025-05-09 | 抱く焦燥 | 4 | cool | 一緒に成長できる喜び | Dear my fellows
2025-07-07 | 差し入れ買い出し中 | 4 | happy | 英語にも真剣に | Deeper and deeper
2025-07-19 | Happy Birthday！！2025 | bd | cute | みんなでお祭りバースデー！ | 
2025-08-30 | 幼き日のプリンセス | 2 | happy | 憧れに届くように | Deep Dark For Light
2025-09-19 | 大特訓大会の成果！ | 4 | happy | 歌と想いと絆 | 
2025-11-10 | その花が咲く時 | 4 | cute | 輝くための力に変えて | 超克のプロタゴニスタ
2026-02-19 | 鏡の前の戦い | 3 | mysterious | 秘密の約束 | CHANGE！えむは王女さま！？
2026-03-30 | 口には出せないこの気持ち | 4 | cool | 負けず嫌いなゲーマー | 残照のInside Direction
2026-06-20 | 苦しみを見つめて | 3 | cool | セカイのファン達 | Phantom maze monster
2026-06-30 | あなたのような“わたし”に | 4 | pure | 『変わる』ということ | アイドル・花里みのり～夢の最前線～
2026-07-15 | Happy Birthday！！2026 | bd | happy | もうひとつのマーメイド物語 | 
2026-08-17 | 森の導き手 | 4 | mysterious | 疲れた時に見る夢は | Again And Again Ambition！
