【宵崎奏 - 新制服】

角色: 宵崎奏
分类: 新制服
数量: 14

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
833 | 2023-12-20 | 優しい音色の記憶 | 4 | happy | 魔法の花畑 | あの日、奏でた音色を | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no032/card_after_training.png
906 | 2024-04-10 | 慣れない早起き | 3 | cute | 盛大な寝癖 | Knowing the Unseen | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no035/card_after_training.png
947 | 2024-06-20 | 平穏な夜を願って | 2 | mysterious | 特別なお茶 | 灯を手繰りよせて | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no036/card_after_training.png
974 | 2024-08-09 | 試練！マウスピース | 4 | mysterious | その手にあるご利益 | 鳴らせビューティフルサウンド！ | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no038/card_after_training.png
1015 | 2024-10-12 | とある忘れもの | 2 | cool | みんなで変身ＳＨＯＷ！ | 荊棘の道は何処へ | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no039/card_after_training.png
1042 | 2024-11-30 | まだ何も知らない | 3 | mysterious | 大切な仲間だから | 傷だらけの手で、私達は | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no040/card_after_training.png
1097 | 2025-01-21 | 鏡の中の、見知らぬわたし | 4 | cool | 抜群の機能性 | Show your shine | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no042/card_after_training.png
1139 | 2025-03-20 | 見えない音 | 4 | cool | 心に浮かぶ想い | Unreliable Notes | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no044/card_after_training.png
1226 | 2025-08-22 | 気になる服は？ | 3 | pure | 込められた想いを感じて | ほどけぬ明日に手を伸ばして | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no047/card_after_training.png
1315 | 2026-01-11 | ざわめく胸 | 4 | happy | 向き合うための気晴らし | 覚めない幻想をノックして | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no049/card_after_training.png
1349 | 2026-02-28 | 招待のお礼に | 2 | pure | おすすめするなら | 悪夢の庭を歌い明かして | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no051/card_after_training.png
1357 | 2026-03-20 | 朝日とココア | 4 | cute | モデルにぴったり！？ | Amid the Wavering Light | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no052/card_after_training.png
1403 | 2026-05-31 | 形にした先で | 2 | happy | 低身長の苦悩 | 最果てへと飛ぶキミへ | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no054/card_after_training.png
1425 | 2026-07-09 | 想定外のスピード！？ | 3 | happy | 波打ち際の記憶 | 褪せない今を、彩って | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res017_no055/card_after_training.png
