【天馬司 - 特典】

角色: 天馬司
分类: 特典
数量: 12

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
293 | 2021-10-01 | ステージ裏での激励 | 4 | pure | 笑顔がくれる力 | スクランブル・ファンフェスタ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no012/card_after_training.png
385 | 2022-02-28 | トラブルミーティング！？ | 4 | mysterious | チョコレート・ペガサス！ | 怪盗紳士のハラハラ！？ホワイトデー | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no015/card_after_training.png
565 | 2022-12-31 | 謹賀新年の男 | 4 | mysterious | いざ、成長！ | 新春！ 獅子舞ロボのお正月ショー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no020/card_after_training.png
674 | 2023-06-30 | 勝敗決す！ | 4 | happy | スターな工芸品？ | 一期一会な百鬼夜行！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no025/card_after_training.png
764 | 2023-09-30 | まさかのクラスメイト | 4 | cute | マイ・ニュー・ランニングシューズ！ | ハロー・グッド・デイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no029/card_after_training.png
884 | 2024-03-08 | 高みへ手を伸ばして | 4 | pure | いつか必ずあの星に | 星を目指して、ヨーソロー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no033/card_after_training.png
896 | 2024-03-30 | きみとぼくのかえりみち | 4 | happy | 妹だから知らない顔 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no034/card_after_training.png
1169 | 2025-05-09 | 決意を胸に | 4 | mysterious | 夢は正夢に | Dear my fellows | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no045/card_after_training.png
1197 | 2025-07-07 | いざ、舞台へ | 4 | happy | 困難を楽しんで | Deeper and deeper | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no047/card_after_training.png
1229 | 2025-08-30 | 絶望に潜る | 4 | cool | 応援に力をもらって | Deep Dark For Light | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no048/card_after_training.png
1327 | 2026-01-31 | 炸裂！愛の一撃 | 4 | cute | みんなで脚本会議 | 粉砕せよ！アンヴァレンタインの復讐 | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no051/card_after_training.png
1397 | 2026-05-17 | まっすぐな演説 | 4 | pure | 起こるべくして起こった奇跡 | Great Yell for Dreamers！ | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res013_no055/card_after_training.png
