【东云绘名 - 卡面】

姓名: 东云绘名
登场卡面数: 47

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 伴有社交网络依赖症的画师 | 1 | pure | 好啦，你就陪我一下嘛 | 
2024-01-01 | 25点，Nightcord见。 | 2 | mysterious | 感觉还不错 | 
2024-01-01 | 最佳角度 | 3 | cool | 美图效果很不错！ | 
2024-01-01 | 提线木偶的礼服 | 2 | pure | 坦诚相待的方法 | 被囚禁的提线木偶
2024-01-01 | 东云家的年末 | 4 | pure | 大量战利品 | 「世界」的Happy New Year！
2024-01-01 | 不想放弃 | 4 | happy | 苦苦挣扎 | 饱和不了的黯淡色彩
2024-01-01 | 神秘之旅的洗礼？ | 4 | cute | 无法消除的烦闷 | Secret Distance
2024-01-01 | 向我伸出的援手 | 4 | pure | 我还一无所知 | 让我分担你的烦恼！心跳雀跃的郊游
2024-01-01 | 希望说出来 | 2 | cute | 都是不肯放弃的人 | 珍藏在心中的康乃馨
2024-01-01 | 曾经的夏日庆典 | 4 | cool | 你的里里外外我都清楚 | 夏日庆典，那响彻云霄的声音
2024-01-01 | 取消的消息 | 3 | cute | 尽管来找我商量吧 | 光之幻影
2024-01-01 | 隐士·探索者 | 4 | cute | 从日常小事开始 | 我的足迹 你的止境
2024-01-01 | 为了做出相符的东西 | 3 | pure | 两年前的我 | 总有一天，会从绝望的深渊
2024-01-01 | 无论痛苦，还是惨淡 | 4 | cool | 只要有可能 | 在空白的画布上描绘自我
2025-04-29 | Happy Birthday！！Flower | bd | mysterious | 和朋友们一起购物 | 
2024-01-01 | 体育节的幕后工作 | 2 | happy | 不经意窥见的努力 | 白热！神高应援团！
2024-01-01 | 最吸引人的角度 | 3 | happy | 只有三人的庆功宴 | 牵起迷失的孩子，前方等待的是
2024-01-01 | 钩爪力道太弱！ | 4 | happy | 直勾勾的眼神 | 大家一起欢享！SPOJOYPARK
2024-01-01 | 想要完成最好的作品 | 3 | mysterious | K发来的私信 | 现在再次绑上蝴蝶结
2024-01-01 | 记忆中的动物 | 4 | mysterious | 大家一起来画素描吧♪ | 绘出自我♪RAINBOW CANVAS
2024-01-01 | 想画的表情 | 4 | mysterious | 话中隐含的真意 | 祈愿，终有一天跨越黎明
2024-01-01 | 无尽的懊悔 | 4 | cute | 再次注入活力 | 
2024-01-01 | 至少度过这平静的时光 | 4 | pure | 与其一个人，不如两个人 | 难以弥合·分歧
2024-01-01 | 将感受融入画中 | 4 | happy | 一点点向前进 | 在乐声共鸣的街角
2025-04-29 | Happy Birthday！！Stamp | bd | cool | 准备！生日打卡景点巡游！ | 
2024-01-01 | 沮丧、后悔和感谢 | 2 | cool | 秘密甜品的回礼 | 我们为了生存而逃避
2024-01-01 | 看不见的影子 | 4 | mysterious | 失去联系 | 向戴着面具的我告别
2025-02-28 | Brand New Style | 2 | happy | 换班级的回忆 | 
2025-09-12 | 愉快的午后与迷茫的未来 | 4 | cute | 寻求一幅打动心灵的作品 | 水底寻影
2026-02-07 | feat.酷洛米 | 4 | cool | 不知珍惜的人齐聚？ | 
2024-01-01 | 忧郁的午后 | 3 | cute | 在「世界」享受咖啡 | 将那天，演奏的音乐
2024-01-01 | 奢华的美妆 | 4 | mysterious | 从照片中学到的 | Take the Best Shot！
2025-04-28 | 想从画中看到的情感 | 4 | pure | 慰问的芝士蛋糕 | Knowing the Unseen
2025-04-29 | Happy Birthday！！2025 | bd | pure | 大家居然记得那么清楚啊 | 
2025-06-05 | 别人给的门票 | 2 | mysterious | 体验制作戒枕！ | 大家来直播♡WEDDING LIVE！
2025-06-29 | 传递的心愿与努力 | 3 | cool | 予人援手，遇雨撑伞 | 揽灯近前
2025-09-27 | Let's·买东西吧！ | 3 | happy | 参与方式各不相同 | 承载心愿！Dream Stage
2025-10-11 | 在痛彻心扉的黄昏中 | 4 | cute | 因为笑容而感到安心 | 荆棘之路通往何处
2025-11-30 | 就算遍体鳞伤 | 4 | cool | 属于我的“安宁” | 用我们，布满伤痕的双手
2025-12-31 | 25点迎新年 | 2 | pure | 占卜吉凶的花朵图案 | Unfading wishing
2025-10-24 | Let's enjoy the movie！ | 2 | cool | 特别的日子要用喜欢的颜色呢 | 
2026-03-20 | 背包里的万千思绪 | 4 | cool | 一定要好好照顾自己 | Unreliable Notes
2026-04-29 | Happy Birthday！！2026 | bd | happy | 置身于樱花和笑容之中 | 
2026-04-30 | 佩戴同款手链 | 2 | cute | 不曾改变的容身之处 | 于是，指针开始转动
2026-06-09 | 你，总是 | 4 | mysterious | 绘绘老师的画画课堂 | 置身于泡沫的环绕
2026-07-04 | 和那幅画一起 | 4 | pure | “我”们的画 | Deeper and deeper
2026-08-22 | 架不住热情相迎！ | 4 | happy | 回家路上的欢声笑语 | 向无法解开的明天伸手
