【朝比奈まふゆ - 旧制服】

角色: 朝比奈まふゆ
分类: 旧制服
数量: 21

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
69 | 2020-09-29 | 『いい子』に見られる優等生 | 1 | cool | 私らしい、か…… |  | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no001/card_after_training.png
70 | 2020-09-29 | 25時、ナイトコードで。 | 2 | happy | 現実かは気にしちゃダメ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no002/card_after_training.png
71 | 2020-09-29 | 『いい子』の私 | 3 | cute | 『私』はどこ…？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no003/card_after_training.png
114 | 2020-10-20 | 不自由マスカレード | 4 | cool | 初めての気持ち | 囚われのマリオネット | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no005/card_after_training.png
127 | 2020-11-09 | 楽しい楽しい二人三脚？ | 3 | happy | 心に残ったもの | 走れ！体育祭！～実行委員は大忙し～ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no006/card_after_training.png
176 | 2021-02-18 | 投げかけた言葉 | 4 | happy | “ない”と“わからない”は違う | 満たされないペイルカラー | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no007/card_after_training.png
206 | 2021-04-11 | 廃校での出会い | 2 | pure | 少女からのお礼 | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no009/card_after_training.png
239 | 2021-06-21 | こぼれたほほ笑み | 4 | mysterious | キャラメル味のチョコ | カーネーション・リコレクション | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no010/card_after_training.png
278 | 2021-08-31 | 見上げる月は同じ | 2 | cute | ささやかなお月見の夜 | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no011/card_after_training.png
284 | 2021-09-21 | あたたかい愛情の記憶 | 4 | happy | もう、忘れてしまわないように | 灯のミラージュ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no012/card_after_training.png
