【暁山瑞希 - 新制服】

角色: 暁山瑞希
分类: 新制服
数量: 12

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
907 | 2024-04-10 | キミに食べてほしい味 | 2 | cool | やっぱり似たものきょうだいだよね | Knowing the Unseen | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no034/card_after_training.png
944 | 2024-06-20 | 直接伝えたくて | 4 | pure | 雨の日のマイルール？ | 灯を手繰りよせて | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no035/card_after_training.png
991 | 2024-08-31 | ハッピー肝試しを目指して！ | 2 | happy | いつかは全身コーディネート♪ | わんだほら～！？な肝だめし！ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no037/card_after_training.png
1011 | 2024-10-12 | 失われてしまったもの | 4 | cute | みんなとの時間 | 荊棘の道は何処へ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no038/card_after_training.png
1107 | 2025-01-31 | 楽しい刺繍の時間 | 3 | cute | バレンタインのヒント？ | このひと針に想いを込めて | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no041/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no041/card_after_training.png
1135 | 2025-03-10 | ドーナツとピース！ | 4 | mysterious | キミにぴったりの猫 | You are my HERO!! | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no042/card_after_training.png
1143 | 2025-03-20 | “みんな”で打ち上げ | 2 | cute | がんばったで賞をキミに | Unreliable Notes | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no043/card_after_training.png
1165 | 2025-04-30 | そばにいられるように | 3 | mysterious | たくさんのあったかさを込めて | そして、針は動き出す | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no044/card_after_training.png
1223 | 2025-08-22 | ボクのまま描く明日 | 4 | happy | 姉との時間 | ほどけぬ明日に手を伸ばして | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no046/card_after_training.png
1318 | 2026-01-11 | 不穏を察して | 3 | cool | 選ばれた喜び | 覚めない幻想をノックして | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no050/card_after_training.png
1356 | 2026-03-20 | 服作り奮闘中 | 4 | cute | たくさんの選択肢から | Amid the Wavering Light | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no052/card_after_training.png
1426 | 2026-07-09 | みんなとなら、どこだって | 2 | pure | シロップはオリジナルブレンド♪ | 褪せない今を、彩って | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no054/card_after_training.png
