【Hinomori Shiho - Cards】

Name: Hinomori Shiho
Card Count: 48

---- Released | Card Name | Rarity | Attribute | Skill | Event ----
2021-12-07 | Distant Loner | 1 | happy | The Importance Of Helping | 
2021-12-07 | Leo/need | 2 | mysterious | Not Again... | 
2021-12-07 | Lingering Melody | 3 | cute | Fond Memories | 
2021-12-08 | Recognizable Passion | 4 | mysterious | Brightest Star Signal | First Star After the Rain
2022-02-18 | Varied Kindness | 2 | cute | A Little More Gentle | Don't Let Doubts Hold You Back
2022-03-14 | Bonds And Grief | 4 | cute | Indecisive Heart | Musical Twilight Parade
2022-05-09 | The Answer I Found | 4 | cool | Together, From Now On | Resonating with you
2022-07-04 | Lunchtime Chat | 4 | happy | Twilight Tuning | Unnamed Harmony
2022-08-30 | What Made My Sadness Go Away | 4 | cute | Don't Let Go Just Yet | The Moon Rabbit & Us
2022-09-09 | We're Doing A Debrief Right After | 3 | pure | Believing In My Friends | A Bright Future!!
2022-11-08 | Hurtful Words | 4 | cool | Behind The Rumors | Putting Feelings Into Words
2022-12-31 | Sound & Calligraphy | 2 | cool | Nice Assist | The Tomorrow We Hope For
2023-01-08 | Happy Birthday! | bd | happy | A Birthday Party Led By Shizuku | 
2023-02-18 | An Old Wish | 4 | pure | A Dreamlike Reality | That day, the Sky was Far Away
2023-02-28 | Filled With My "Thanks" | 3 | mysterious | Homemade For A Change | A Gentleman Thief's Thrilling White Day?!
2023-04-21 | How Things Develop From Here | 3 | cool | Crepe Party | Live with Memories
2023-06-30 | The Right Path For Me | 4 | mysterious | Our Resolve From That Day | 
2023-07-21 | Head-On Rematch | 2 | happy | Because It's That Important | No seek No find
2023-08-31 | An All-Out Performance | 4 | pure | Words Of Encouragement | Don't lose faith!
2023-10-31 | Getting Closer At The School Festival | 4 | mysterious | Night Festival Show! | Screaming?! Welcome to the Forest of Wolves!
2023-12-21 | Leo/need Have Fun In The Snow | 2 | pure | The Truth Behind The Snow Bunnies | Raise Your Bow in a Snow-White World
2024-01-08 | Happy Birthday! 2024 | bd | cool | The Surprise That Disappeared | 
2024-01-21 | Important Preparations | 4 | cute | Kindness and Strength | Little Bravers!
2024-03-30 | Our Sounds Combined | 4 | happy | Steady Beat, Swinging Groove | In This Singing City
2024-04-11 | Technical Expert | 2 | cute | Best Friends, Best Sound | Get Over It
2024-07-21 | Because Today Is Special | 4 | cool | Wishing For Clear Skies | Our Constellation of Song
2024-09-10 | Can't Beat That Stare | 4 | happy | Meticulous Design | Our Precious Memories
2024-09-30 | Brand New Style | 2 | happy | A Tall Order | 
2024-10-22 | The First Notes | 4 | pure | Better Than Before | Stick to Your Faith
2025-01-07 | Featuring SUGARBUNNIES | 2 | mysterious | A Special Sweet Treat | 
2024-12-10 | Concealed Joy | 4 | cool | Let Sleeping Guinea Pigs Lie | This Way! That Way! Zookeeper Day
2024-12-31 | With Some Embarrassment | 4 | mysterious | New Year's Declaration | Beside Unchanging Warmth
2025-01-08 | Happy Birthday! 2025 | bd | cute | Hope They Don't Overdo It... | 
2025-02-10 | Imagining That Smile | 3 | happy | A Modest Picnic | Lead With Courage and Kindness
2025-04-20 | Snacks In Hand | 4 | happy | I'll Do My Part | Parallel Harmonies
2025-05-31 | Any Fun Stories? | 3 | pure | Bridal Fair Talk! | Stream With Friends♡ Wedding Live!
2025-07-17 | When To Board This Train | 4 | cute | Crepe Stall Encounter | Our Starry Sky Leading to the Future
2025-09-20 | Unchanging Feelings | 2 | pure | Max Youth?! | This Moment With You!
2025-09-30 | Not Used To Makeup | 4 | pure | So They Really Enjoy It | Here on Our Dream Stage
2025-10-31 | Waiting For Our Turn | 2 | cool | To Envision Our Best | Happy Enjoy Music!
2025-11-10 | An Autumn Breeze At Sunset | 4 | mysterious | Can't Forget The Souvenirs | As the Leaves Change Once More
2026-01-08 | Happy Birthday! 2026 | bd | mysterious | Hunting Down Heartfelt Words | 
2025-04-28 | Let's Enjoy The Movie! | 2 | happy | You Made It, Now Let's Head In | 
2026-02-28 | Hugs Of Friendship♪ | 3 | cool | Repaid With Gratitude | Connect Hearts Message
2026-03-30 | Go With The Flow | 4 | cool | Our Next Goal | Find the Dream View
2026-06-23 | Chatting With The Band | 4 | happy | What I Got From That Dream | Ordinary, Yet Special Us
2026-07-15 | The Moment I Rise | 3 | happy | That Comfortable Feeling | Unsteady, Still Steady Step
2026-08-04 | Looking Up At The Stars | 4 | cute | A Hardworking Side | 
