【神代类 - 卡面】

姓名: 神代类
登场卡面数: 48

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 我行我素的天才导演 | 1 | mysterious | 这是你需要的东西 | 
2024-01-01 | Wonderlands×Showtime | 2 | pure | 完成后再揭晓 | 
2024-01-01 | 神出鬼没的表演者 | 3 | happy | 来完成一场精彩的演出吧 | 
2024-01-01 | 意想不到的肺腑之言 | 4 | happy | 尽情发挥 | 全力以赴！奇幻万圣节！
2024-01-01 | 安眠一夜 | 3 | pure | 我们的强项 | 让歌声响彻，神圣之夜
2024-01-01 | 疯狂的怪物 | 2 | cool | 不正常才正常 | 回响于耳畔的暮色巡游
2024-01-01 | 心底的烈火 | 4 | mysterious | 为了守护笑容 | 梦想家的笑容
2024-01-01 | 脱缰的构思与失控 | 3 | cute | 献给知晓孤独滋味的你 | 让我分担你的烦恼！心跳雀跃的郊游
2024-01-01 | 梦幻策划人 | 4 | cute | 最优秀的演员们 | 为纯白的你唱响誓言之歌！
2024-01-01 | 后台的炼金术师 | 4 | pure | 有一丝寂寞 | 对美人鱼充满憧憬
2024-01-01 | 昔日的憧憬 | 4 | happy | 欢迎来到我家！ | 重燃的梦想
2024-01-01 | 无尽的想象与挑战 | 4 | cool | 现在才能相信的话语 | 
2024-01-01 | Rainbow☆Cast | 2 | mysterious | 多感官体验的演出 | POP IN MY HEART!!
2024-01-01 | 欣赏你的态度 | 4 | cute | 等待星星闪耀光芒 | 在璀璨耀眼的舞台上
2024-01-01 | 照亮黄昏的光辉 | 4 | cool | 演员们已齐聚一堂 | 白热！神高应援团！
2024-01-01 | 挑战野外求生！ | 2 | cute | 独自面对的食品短缺？ | 危在旦夕？！无人岛绝处逢生！
2025-06-23 | Happy Birthday！！Flower | bd | mysterious | 不同寻常“普通” | 
2024-01-01 | 点醒的话语 | 4 | pure | 大家一起负责拿椅子 | 逢此庆典 暮色亦染
2024-01-01 | 晚风吹拂 | 4 | cool | 没什么大不了的事 | 惜别谢幕
2024-01-01 | 绝对不能输啊 | 4 | mysterious | 最可靠的伙伴 | 梦想的旅途，奔向闪耀的群星
2024-01-01 | 突如其来的试炼 | 4 | mysterious | 在礼物中寄托心意 | Never Give Up Cooking！
2024-01-01 | 秘密武器！凤凰机器人 | 3 | pure | 它已经不是寻常的鸟了 | 追寻翱翔于天际的凤凰
2024-01-01 | 随时都能找我商量哦 | 4 | pure | 与其后悔，不如付诸实践 | 金丝雀于绝境中高歌
2025-06-23 | Happy Birthday！！Stamp | bd | cool | 互赠惊喜 | 
2024-01-01 | 为内心，拍一张 | 4 | happy | 为了获得回忆 | 一期一会的百鬼夜行？！
2024-01-01 | 半夜的纠葛 | 3 | cool | 赋予更加合适的结局 | 我们的圆满结局
2024-01-01 | 夕阳下的对话 | 4 | cool | 秘密创造回忆 | Let's study hard！
2025-02-28 | Brand New Style | 2 | happy | 委员长的关心 | 
2024-01-01 | 被勾起的好奇心 | 4 | mysterious | 专业人士的热情 | 以你为主角的故事
2026-02-07 | feat.半鱼人汉顿 | 2 | pure | 想展露笑容的人在哪里？ | 
2024-01-01 | 无意间听到的只言片语 | 4 | happy | 荣耀的演职员表 | 背光的镜头光晕
2025-04-18 | 回礼的招呼 | 4 | cute | 全新的「世界」探险队！ | 向着星星，启航！
2025-04-11 | 偶然发现了好东西！ | 2 | cute | 叫声样本大募集？！ | Rise as ONE！
2025-05-29 | 天狗的太刀技 | 3 | mysterious | 贪心的导演 | perspective for smile
2025-06-23 | Happy Birthday！！2025 | bd | happy | 安稳的野餐 | 
2025-07-13 | 帅气的反派？ | 4 | pure | 在小道具组大显身手！ | 捉拿归案？！天马捕物帐
2025-09-27 | 注视宝物 | 4 | cute | 因为这些过去 | 承载心愿！Dream Stage
2025-11-20 | 欢迎来看海中演出！ | 2 | mysterious | 最大的难关名为 | The Power Of Regret
2025-12-21 | 一定要见到圣诞老人！大作战 | 4 | pure | 为了那份笑容 | Special present for YOU！
2025-10-24 | Let's enjoy the movie！ | 2 | cool | 和朋友看电影也不错啊 | 
2025-12-19 | 魔法与发明交织而成的演出 | 4 | mysterious | 一起施加笑容的魔法 | 
2026-02-20 | 导演的坚持 | 2 | happy | 请看新功能 | 昔日的Read-aloud
2026-04-22 | 硬塞蔬菜被抓现行 | 3 | happy | 粉丝的心意，粉丝的力量 | Choices for the future
2026-05-09 | 向梦想迈出的一步 | 4 | cute | 想不完的点子 | Dear my fellows
2026-06-23 | Happy Birthday！！2026 | bd | pure | 意想不到的生日 | 
2026-07-04 | 与憧憬之人的距离 | 4 | happy | 心怀对伙伴的感谢 | Deeper and deeper
2026-08-30 | 寄托心意的小道具制作 | 4 | cool | 关于梦想的一步 | Deep Dark For Light
2026-08-15 | feat.忍忍吉 | 2 | cool | 有特色的笑容？ | 
