【青柳冬弥 - 卡面】

姓名: 青柳冬弥
登场卡面数: 46

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 古典音乐才子 | 1 | cool | 给玩偶寻找养父母 | 
2024-01-01 | Vivid BAD SQUAD | 2 | happy | 我很羡慕你 | 
2024-01-01 | 断绝的情谊 | 3 | cute | 来自学长的帮助 | 
2024-01-01 | 悠闲的咖啡时光 | 3 | happy | 感受激动的心跳 | 总有一天为你献上心连心的抒情诗
2024-01-01 | 意料之外的才能？ | 2 | cool | 最擅长做熊熊 | 神山高校校园庆典！
2024-01-01 | 有朝一日，再次…… | 4 | mysterious | 无需言说的话语 | Period of NOCTURNE
2024-01-01 | 手足之情 | 4 | pure | 相遇时的回忆 | 天马家的女儿节
2024-01-01 | 身为搭档 | 2 | cute | BAD DOGS的由来 | STRAY BAD DOG
2024-01-01 | 献给你的情歌 | 4 | cute | 越发广阔的世界 | 为纯白的你唱响誓言之歌！
2024-01-01 | 对伙伴的敬畏 | 3 | pure | 棒棒糖狗狗 | Awakening Beat
2024-01-01 | 相互信任 | 4 | cool | 一如往常 | Bout for Beside You
2024-01-01 | 户外烹饪！ | 4 | pure | 用泉水泡咖啡 | Same Dreams,Same Colors
2024-01-01 | 将内心的澎湃化为言语 | 4 | mysterious | 知晓原点 | Legend still vivid
2024-01-01 | 默默埋藏的心愿 | 4 | happy | 就算现在还无法触碰 | 
2024-01-01 | 肚子是不会骗人的 | 3 | mysterious | 作为拥有同一个梦想的伙伴 | THE POWER OF UNITY
2025-05-24 | Happy Birthday！！Flower | bd | cool | 饼干不够了 | 
2024-01-01 | 那些感受究竟是 | 2 | pure | 这条街给予的回忆 | The Vivid Old Tale
2024-01-01 | 令人目不暇接的魔法气泡高手 | 4 | cute | 最棒的队名 | close game/OFFLINE
2024-01-01 | 从今往后直到永远 | 4 | cool | 寻求“属于我们的音乐” | Walk on and on
2024-01-01 | 青柳家的圣诞派对 | 4 | happy | 又多了一份回忆 | Find A Way Out
2024-01-01 | 无可挑剔的图书委员 | 3 | cool | 心心念念的新刊！ | Kick it up a notch
2024-01-01 | 在不变的温暖中 | 4 | mysterious | 心中回荡的温暖 | Never Give Up Cooking！
2025-05-24 | Happy Birthday！！Stamp | bd | happy | 白热化！游戏厅对决回归？！ | 
2024-01-01 | 了解我们之间的差距 | 4 | cute | 孤独感背后的理由 | Light Up the Fire
2024-01-01 | 久违的探望 | 4 | pure | 告一段落的一杯 | On Your Feet
2025-02-28 | Brand New Style | 2 | mysterious | 新诞生的事物 | 
2024-01-01 | 短暂的休息 | 3 | cool | 被点燃火种的去处 | BURN MY SOUL
2024-01-01 | 前往服装组！ | 2 | cool | 挑战做裁缝！ | 最棒的杀青！
2026-02-07 | feat.帕恰狗 | 4 | happy | 正因为有伙伴才能做到 | 
2025-06-12 | 黑白的色彩 | 4 | cool | 曾经见过的维也纳街景 | BREAK DOWN THE WALL
2024-01-01 | 挑战当模特！ | 3 | cute | 友情巧克力与人情巧克力 | Take the Best Shot！
2025-04-04 | 解开枷锁 | 4 | happy | 即便走在不同的道路上 | The first concerto
2025-05-12 | 害怕之情 | 4 | cool | 将那天耀眼的光芒，带回此刻 | Whip the wimp girl!!
2025-05-24 | Happy Birthday！！2025 | bd | cute | 难分高下的庆祝 | 
2025-07-05 | 再多感受一下这个气氛 | 2 | happy | 交流分享作曲的心得 | OVER RAD SQUAD!!
2025-08-06 | 伴随心中的憧憬 | 4 | mysterious | 出乎意料的笑容 | 奏响美妙乐音！
2025-09-27 | 放学后帮个小忙 | 4 | pure | 共识与共同语言 | 承载心愿！Dream Stage
2025-10-21 | 即使看不见，但它依然存在 | 2 | cute | 在堆积如山的参考书前 | Rekindle the flame
2025-12-31 | 新的挑战 | 3 | pure | 磨练内心 | Unfading wishing
2026-01-11 | 在异国的街角 | 4 | happy | 意想不到的家庭往事 | Time to take off！
2025-10-24 | Let's enjoy the movie！ | 2 | mysterious | 电影院的咖啡也不错啊 | 
2025-12-19 | 运用各自的武器 | 4 | cute | 作为美丽的歌者 | 
2026-04-08 | 追寻闪耀的记忆 | 4 | cool | “早上好！” | Turning Pain into Drive
2026-05-24 | Happy Birthday！！2026 | bd | pure | 日积月累的回忆 | 
2026-05-31 | 美食文化交流 | 4 | cute | 把谢意化作行动 | Aim higher and higher！
2026-07-31 | 最棒的伴手礼！ | 4 | happy | 真髓尚远 | Competitive fire！
