【東雲絵名 - 特典】

角色: 東雲絵名
分类: 特典
数量: 11

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
308 | 2021-10-31 | ハーミット・サーチャー | 4 | cute | 小さな日常から | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no013/card_after_training.png
460 | 2022-06-30 | アーム弱すぎ！ | 4 | happy | まっすぐなまなざし | みんなでエンジョイ！スポジョイパーク | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no019/card_after_training.png
563 | 2022-12-31 | リグレットルパンティール | 4 | cute | 再び息を吹き込んで |  | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no023/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no023/card_after_training.png
621 | 2023-03-30 | 感じたものを絵に | 4 | happy | 少しずつでも、前へ | 交響する街の片隅で | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no025/card_after_training.png
787 | 2023-11-08 | 楽しい午後と見えない未来 | 4 | cute | 心に届く１枚を求めて | 水底に影を探して | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no030/card_after_training.png
863 | 2024-01-31 | 贅沢なメイクアップ | 4 | mysterious | 写真からの学び | Take the Best Shot！ | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no033/card_after_training.png
1039 | 2024-11-30 | 傷だらけになったとしても | 4 | cool | 私の『安らぎ』 | 傷だらけの手で、私達は | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no040/card_after_training.png
1187 | 2025-06-09 | いつも、あなたが | 4 | mysterious | えななん先生のお絵描き教室 | 泡沫に抱かれて | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no046/card_after_training.png
1194 | 2025-07-07 | あの絵を一緒に | 4 | pure | 『私』達の絵 | Deeper and deeper | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no047/card_after_training.png
1272 | 2025-10-31 | 己の境界を超えて | 4 | pure | ヒントへのお礼 | Colors of Pure Sense | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no049/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no049/card_after_training.png
1449 | 2026-08-17 | あの頃言えなかったこと | 4 | cool | 優しいお姉さん？ | Again And Again Ambition！ | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res019_no055/card_after_training.png
