【青柳冬弥 - 新队服】

角色: 青柳冬弥
分类: 新队服
数量: 29

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
45 | 2024-01-01 | 古典音乐才子 | 1 | cool | 给玩偶寻找养父母 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no001/card_after_training.png
46 | 2024-01-01 | Vivid BAD SQUAD | 2 | happy | 我很羡慕你 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no002/card_after_training.png
47 | 2024-01-01 | 断绝的情谊 | 3 | cute | 来自学长的帮助 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no003/card_after_training.png
137 | 2024-01-01 | 悠闲的咖啡时光 | 3 | happy | 感受激动的心跳 | 总有一天为你献上心连心的抒情诗 | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no005/card_after_training.png
143 | 2024-01-01 | 意料之外的才能？ | 2 | cool | 最擅长做熊熊 | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no006/card_after_training.png
165 | 2024-01-01 | 有朝一日，再次…… | 4 | mysterious | 无需言说的话语 | Period of NOCTURNE | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no007/card_after_training.png
187 | 2024-01-01 | 手足之情 | 4 | pure | 相遇时的回忆 | 天马家的女儿节 | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no008/card_after_training.png
216 | 2024-01-01 | 身为搭档 | 2 | cute | BAD DOGS的由来 | STRAY BAD DOG | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no009/card_after_training.png
252 | 2024-01-01 | 对伙伴的敬畏 | 3 | pure | 棒棒糖狗狗 | Awakening Beat | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no011/card_after_training.png
297 | 2024-01-01 | 相互信任 | 4 | cool | 一如往常 | Bout for Beside You | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no012/card_after_training.png
341 | 2024-01-01 | 户外烹饪！ | 4 | pure | 用泉水泡咖啡 | Same Dreams,Same Colors | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no013/card_after_training.png
374 | 2024-01-01 | 将内心的澎湃化为言语 | 4 | mysterious | 知晓原点 | Legend still vivid | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no014/card_after_training.png
437 | 2024-01-01 | 肚子是不会骗人的 | 3 | mysterious | 作为拥有同一个梦想的伙伴 | THE POWER OF UNITY | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no016/card_after_training.png
467 | 2024-01-01 | 那些感受究竟是 | 2 | pure | 这条街给予的回忆 | The Vivid Old Tale | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no018/card_after_training.png
504 | 2024-01-01 | 从今往后直到永远 | 4 | cool | 寻求“属于我们的音乐” | Walk on and on | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no020/card_after_training.png
552 | 2024-01-01 | 青柳家的圣诞派对 | 4 | happy | 又多了一份回忆 | Find A Way Out | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no021/card_after_training.png
598 | 2024-01-01 | 无可挑剔的图书委员 | 3 | cool | 心心念念的新刊！ | Kick it up a notch | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no022/card_after_training.png
660 | 2024-01-01 | 了解我们之间的差距 | 4 | cute | 孤独感背后的理由 | Light Up the Fire | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no025/card_after_training.png
