【日野森志步 - 卡面】

姓名: 日野森志步
登场卡面数: 49

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 不合群的独狼 | 1 | happy | 无微不至的照顾很重要 | 
2024-01-01 | Leo/need | 2 | mysterious | 就是因为这个…… | 
2024-01-01 | 难忘的旋律 | 3 | cute | 令人怀念的回忆 | 
2024-01-01 | 隐藏在表面下的热度 | 4 | mysterious | 一等星的信号 | 雨过天晴的启明星
2024-01-01 | 各种各样的温柔 | 2 | cute | 尽量温柔一些…… | 即使摇摆不定，但毅然勇往直前
2024-01-01 | 友情与忧郁 | 4 | cute | 无法下定的决心 | 回响于耳畔的暮色巡游
2024-01-01 | 豁然开朗的答案 | 4 | cool | 今后也要在一起 | Resonate with you
2024-01-01 | 午休时的谈心 | 4 | happy | 在暗淡的阳光下调音 | Unnamed Harmony
2024-01-01 | 扫清孤独感的是…… | 4 | cute | 继续紧紧抱住我 | 两人与月兔
2024-01-01 | 接下来是总结会 | 3 | pure | 同伴间的信赖 | Knock the Future!!
2024-01-01 | 尖锐的话语 | 4 | cool | 传言的真相 | 矢志不摇的心愿，此刻以话语传达
2024-01-01 | 不管是音乐之路还是书法之路 | 2 | cool | 漂亮的助攻 | 祈愿的未来 憧憬的明天
2026-01-07 | Happy Birthday！！Flower | bd | happy | 由雫主办，和朋友们共度的生日会 | 
2024-01-01 | 曾经心怀的愿望 | 4 | pure | 梦境般的现实 | 那一天，天空遥不可及
2024-01-01 | 饱含感谢之情 | 3 | mysterious | 偶尔自己动手做也不错 | 慌慌张张？！怪盗绅士的白色情人节
2024-01-01 | 接下来的展开 | 3 | cool | 可丽饼派对 | Live with memories
2024-01-01 | 我所追求的道路 | 4 | mysterious | 那天的决心 | 
2024-01-01 | 昂首挺胸一雪前耻 | 2 | happy | 正因为你是我重要的伙伴 | No seek No find
2024-01-01 | 全力以赴的舞台 | 4 | pure | 鼓劲的话语 | Don't lose faith!
2024-01-01 | 在文化节缩短距离 | 4 | mysterious | 晚上庆祝会的演出！ | 尖叫？！欢迎来到大灰狼森林
2024-01-01 | Leo/need一起玩雪 | 2 | pure | 雪兔的真相 | 在纯白世界拉弓引箭
2026-01-07 | Happy Birthday！！Stamp | bd | cool | 惊喜的去向 | 
2024-01-01 | 重要的准备 | 4 | cute | 温柔和强大 | Little Bravers！
2024-01-01 | 让乐声共鸣 | 4 | happy | 有力的节拍，跳跃的律动 | 在乐声共鸣的街角
2024-01-01 | 技术专家 | 2 | cute | 与伙伴共奏最棒的音色 | Get over it.
2024-01-01 | 毕竟今天很特别 | 4 | cool | 祈求晴空万里！ | 相联的，星星之歌
2024-01-01 | 无法战胜的眼神 | 4 | happy | 连细节也很讲究 | 和你创造的Precious memories
2025-02-28 | Brand New Style | 2 | happy | 心心念念的？ | 
2024-01-01 | 开始的声音 | 4 | pure | 比现在弹得更好 | Stick to your faith
2026-02-07 | feat.蜜糖邦尼 | 2 | mysterious | 请享用可口的甜点 | 
2024-01-01 | 掩饰内心的激动 | 4 | cool | 保护睡梦中的孩子 | 东奔西走的饲养员体验！
2024-01-01 | 略带羞涩 | 4 | mysterious | 在新年表明决心 | 在不变的温暖旁
2026-01-07 | Happy Birthday！！2025 | bd | cute | 别太过火就好…… | 
2024-01-01 | 想起喜悦的表情 | 3 | happy | 小小的野餐 | 勇敢引导，温柔在心
2025-05-05 | 带上慰问品 | 4 | happy | 这也是我的本分和义务 | Parallel Harmonies
2025-06-05 | 让人忍俊不禁的有趣对话？ | 3 | pure | 婚庆展感想会！ | 大家来直播♡WEDDING LIVE！
2025-07-20 | 上这辆电车时 | 4 | cute | 在可丽饼店的邂逅 | 那天仰望的夜空，将通向我们的未来
2025-09-22 | 未曾改变的心愿 | 2 | pure | THE·青春？！ | This moment with you！
2025-09-27 | 让人不自在的化妆 | 4 | pure | 为了让大家能尽情享受其中 | 承载心愿！Dream Stage
2025-10-31 | 等待演出正式开始时 | 2 | cool | 追求最完美的表现 | Happy Enjoy Music！
2025-11-10 | 夕阳西下，秋风吹拂 | 4 | mysterious | 最最重要的伴手礼 | 又到秋叶染色之时
2026-01-07 | Happy Birthday！！2026 | bd | mysterious | 寻找编织的心愿 | 
2025-10-24 | Let's enjoy the movie！ | 2 | happy | 等你好久了，走吧 | 
2026-02-28 | 更加亲密无间♪ | 3 | cool | 满怀谢意的回礼 | Connect hearts message
2026-03-27 | 顺从这份冲动 | 4 | cool | 接下来的目标 | Find the dream view
2026-06-23 | 与伙伴的谈笑 | 4 | happy | 梦中所得 | ordinary,yet special us
2026-07-15 | 醒来之时 | 3 | happy | 熟悉的手感 | Unsteady, still steady step
2026-08-15 | 仰望群星 | 4 | cute | 努力的一面 | 
2026-10-11 | 每日例行 | 4 | happy | 肺腑之言 | 与你相连的Heart Beat
