【小豆泽心羽 - 4星】

角色: 小豆泽心羽
分类: 4星
数量: 23

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
135 | 2024-01-01 | 再次与你并肩 | 4 | cool | 把后背放心交给我！ | 总有一天为你献上心连心的抒情诗 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no005/card_after_training.png
199 | 2024-01-01 | 追逐大家的背影 | 4 | pure | 最强新人？ | 在樱花烂漫的世界中与你高歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no007/card_after_training.png
249 | 2024-01-01 | 觉醒隐藏的力量 | 4 | cute | 并肩迈出的一步 | Awakening Beat | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no009/card_after_training.png
292 | 2024-01-01 | 笑梦流？舞蹈秘诀！ | 4 | pure | 音乐带来的邂逅 | 缤纷粉丝节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no011/card_after_training.png
319 | 2024-01-01 | 两人之间的秘密 | 4 | happy | 抓拍的机会！ | 搭档·趣事·欢乐时刻♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no012/card_after_training.png
352 | 2024-01-01 | 迎接第一道曙光 | 4 | cute | 我们的绘马 | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no014/card_after_training.png
373 | 2024-01-01 | 了解那场“传奇” | 4 | mysterious | 用歌声描绘景色 | Legend still vivid | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no015/card_after_training.png
435 | 2024-01-01 | 获得表扬了♪ | 4 | cute | 街道·景色·空气etc. | THE POWER OF UNITY | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no017/card_after_training.png
505 | 2024-01-01 | 午夜创作 | 4 | cool | 收集感受到的兴奋与心跳 | Walk on and on | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no020/card_after_training.png
528 | 2024-01-01 | 我会保护你 | 4 | mysterious | 在追逐背后 | 尖叫？！欢迎来到大灰狼森林 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no021/card_after_training.png
595 | 2024-01-01 | 巅峰之后 | 4 | happy | 重要的瞬间，不经意的瞬间 | Kick it up a notch | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no023/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no023/card_after_training.png
670 | 2024-01-01 | 足迹万花筒 | 4 | cool | 歌即是我 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no026/card_after_training.png
694 | 2024-01-01 | 用我自己的语言 | 4 | pure | 歌手的对话 | On Your Feet | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no027/card_after_training.png
769 | 2024-01-01 | 不能睡着 | 4 | cute | 等我再成熟一点 | BURN MY SOUL | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no030/card_after_training.png
848 | 2025-06-12 | 迈向激动人心的未来 | 4 | happy | 只要还有这份痛楚 | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no032/card_after_training.png
861 | 2024-01-01 | 为伙伴们送上最棒的巧克力 | 4 | mysterious | 不期而遇？！ | Take the Best Shot！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no033/card_after_training.png
916 | 2025-05-12 | 接受你的一切 | 4 | cool | 只要我们一起唱下去 | Whip the wimp girl!! | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no036/card_after_training.png
951 | 2025-07-05 | 激动人心的世界 | 4 | mysterious | 最适合的人选 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no037/card_after_training.png
1017 | 2025-10-21 | 为了能配得上 | 4 | cool | 用同款的包包 | Rekindle the flame | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no038/card_after_training.png
1051 | 2025-12-21 | 因为是我期待已久的演出 | 4 | pure | 每个人的印象不同 | Special present for YOU！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no039/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no039/card_after_training.png
1066 | 2026-01-11 | 拼尽全力的一口 | 4 | happy | 正宗的汉堡！ | Time to take off！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no040/card_after_training.png
1151 | 2026-04-08 | 暮色中的笑容 | 4 | mysterious | 直击心灵的声音 | Turning Pain into Drive | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no044/card_after_training.png
1180 | 2026-05-31 | 心中的余热 | 4 | cute | 由歌声相连的世界 | Aim higher and higher！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no045/card_after_training.png
