【鏡音リン - 旧制服】

角色: 鏡音リン
分类: 旧制服
数量: 22

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
89 | 2020-09-29 | はじける元気！ | 1 | mysterious | キレキレパフォーマンス！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no001/card_after_training.png
90 | 2020-09-29 | ステージのセカイ | 2 | happy | コソ練仲間！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no002/card_after_training.png
91 | 2020-09-29 | 輝くステージ | 3 | mysterious | かわいくポーズ♪ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no003/card_after_training.png
92 | 2020-09-29 | いがみ合いヒートアップ | 4 | pure | 秘密だもんっ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no004/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no004/card_after_training.png
131 | 2020-11-19 | キミの笑顔のために | 4 | cute | キラキラレインボー♪ | ここからRE:START！ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no005/card_after_training.png
171 | 2021-02-09 | 友情キューピッド | 4 | cute | 笑顔のススメ | 響くトワイライトパレード | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no006/card_after_training.png
178 | 2021-02-18 | 出会いの意味を探して | 3 | mysterious | たとえ呪いのようだとしても | 満たされないペイルカラー | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no007/card_after_training.png
235 | 2021-06-11 | スマイルナイトタイム！ | 3 | mysterious | 届いた笑顔 | ワンダーマジカルショウタイム！ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no008/card_after_training.png
245 | 2021-06-30 | おてんばなメロディー | 4 | happy | キミの笑顔が見たくて | Unnamed Harmony | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no009/card_after_training.png
253 | 2021-07-09 | ポップ・アウト・セカイ | 2 | cool | 小さな冒険 | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no010/card_after_training.png
286 | 2021-09-21 | アルバムのあの子 | 4 | happy | 安らぎの子守歌 | 灯のミラージュ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no011/card_after_training.png
305 | 2021-10-21 | インテリシティガール | 2 | pure | セカイで大ジャンプ♪ | Revival my dream | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no012/card_after_training.png
371 | 2022-01-31 | アイドル・オン・ケーキ♪ | 3 | cool | わたしのとっておきサプライズ！ | 秘密の♡バレンタイン大作戦！ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no015/card_after_training.png
399 | 2022-03-20 | 届けたい歌声 | 4 | cool | 苦しんでほしくないけど | 空白のキャンバスに描く私は | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no016/card_after_training.png
409 | 2022-03-30 | bloomy idol♪ | 2 | cool | 桜ステージで春ライブ♪ | セカイの桜、つながる想い | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no017/card_after_training.png
465 | 2022-07-11 | 上映中はお静かに！ | 4 | mysterious | 空気を感じるために | The Vivid Old Tale | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no019/card_after_training.png
496 | 2022-08-31 | 口にできない言葉 | 3 | pure | 優しさって難しいなぁ | Don't lose faith! | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no020/card_after_training.png
532 | 2022-10-31 | レッツ・エンジョイ文化祭♪ | 2 | cute | わたし達の文化祭？ | 絶叫！？ オオカミの森へようこそ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no021/card_after_training.png
657 | 2023-05-31 | 作戦成功・ハイタッチ！ | 3 | mysterious | 仲良しの誓い！ | 隣に立つ、優しいあなたへ | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no025/card_after_training.png
661 | 2023-06-10 | リンちゃん達にお任せあれ！ | 4 | cute | 一部始終の裏側で | Light Up the Fire | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no026/card_after_training.png
745 | 2023-09-29 | Origin Style | 2 | cool | ギャップでトーク？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no028/card_after_training.png
756 | 2023-09-29 | Brand New Stage | 2 | mysterious | 特別特訓！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no029/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res022_no029/card_after_training.png
