【星乃一歌 - 4星】

角色: 星乃一歌
分类: 4星
数量: 27

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
4 | 2020-09-29 | 夜明け前の語らい | 4 | cute | 不安を拭い去って |  | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no004/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no004/card_after_training.png
157 | 2021-01-10 | 戻ってきた笑顔 | 4 | happy | 演奏うまくなろう作戦！？ | 揺れるまま、でも君は前へ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no006/card_after_training.png
197 | 2021-04-01 | 晴れを願って | 4 | pure | みんなとお花見！ | 君と歌う、桜舞う世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no007/card_after_training.png
279 | 2021-09-10 | 想いをつなげるスターピース | 4 | mysterious | 伝えたい言葉 | Knock the Future!! | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no010/card_after_training.png
290 | 2021-10-01 | かつて見た星空 | 4 | cool | 思い出のジャングルジム |  | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no011/card_after_training.png
325 | 2021-11-30 | CDがつなぐ出会い | 4 | cute | 作詞の先輩 | 交わる旋律 灯るぬくもり | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no013/card_after_training.png
381 | 2022-02-18 | 今の聞いてたの！？ | 4 | pure | ひたすら褒める券 | あの日、空は遠かった | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no014/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no014/card_after_training.png
416 | 2022-04-21 | 考えるより先に | 4 | mysterious | この想いを届けるために | Live with memories | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no015/card_after_training.png
470 | 2022-07-21 | その歌を聴かせて | 4 | cute | 痛みさえもわけあって | No seek No find | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no017/card_after_training.png
494 | 2022-08-31 | ひらめきを待って | 4 | pure | 秘密の円陣 | Don't lose faith! | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no019/card_after_training.png
535 | 2022-11-11 | 繋がる音色 | 4 | happy | 感謝のガーベラ | Echo my melody | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no020/card_after_training.png
583 | 2023-01-31 | 薄闇の中の温もり | 4 | cool | ドキ・ソワ・バレンタイン | キャンドルの香りは思い出と共に | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no022/card_after_training.png
643 | 2023-05-11 | 水上の逃避行 | 4 | mysterious | 差し伸べた手に迷いはなく | 船出の前のワンデイトリップ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no024/card_after_training.png
683 | 2023-07-21 | 胸に秘めた誓い | 4 | cool | 何度でも星を | つなぐ、星の歌 | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no025/card_after_training.png
762 | 2023-09-30 | 新しいことの始まり | 4 | cute | 練習の足跡達 | ハロー・グッド・デイ！ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no028/card_after_training.png
868 | 2024-02-10 | ゆっくりで大丈夫だから | 4 | cool | ３人の決意 | 導く勇気、優しさを胸に | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no032/card_after_training.png
879 | 2024-02-29 | 悩むふたりの前に | 4 | happy | 立役者にお礼を | リラックスティータイム | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no033/card_after_training.png
961 | 2024-07-17 | 私達の旅路 | 4 | mysterious | 不慣れを乗り越えて | あの日見た夜空は、いつかの未来へ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no035/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no035/card_after_training.png
998 | 2024-09-20 | ミクとの出会い | 4 | mysterious | あの頃の私とミク | This moment with you！ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no037/card_after_training.png
1023 | 2024-10-31 | 普段とは違う自分で | 4 | happy | しゅわデリ・ハイスクール | Happy Enjoy Music！ | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no038/card_after_training.png
1147 | 2025-03-30 | 全身全霊で届ける音 | 4 | cool | ひとつになれた声と声 | Find the dream view | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no042/card_after_training.png
1189 | 2025-06-23 | 掴めない『想い』 | 4 | pure | 想いを込めた１曲だから | ordinary,yet special us | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no043/card_after_training.png
1202 | 2025-07-15 | ビー・ウィズ・ユー | 4 | cute | 余韻に浸りながら | Unsteady, still steady step | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no044/card_after_training.png
1261 | 2025-10-11 | 衝撃の朝 | 4 | happy | 止まらない想い | 君と繋ぐHeart Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no046/card_after_training.png
1290 | 2025-11-30 | 『あなた』に紡ぐ言葉 | 4 | cute | 最高のステージを共に | 仰ぐ夜空に、星は紛れて | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no047/card_after_training.png
1375 | 2026-04-18 | ４人のミク達 | 4 | pure | 今こそセカイの話を | 約束のPasserelle | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no050/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no050/card_after_training.png
1434 | 2026-07-31 | 悔いのない選択 | 4 | cute | 真夜中のメッセージ | Echo of a Prayer | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res001_no052/card_after_training.png
