【MEIKO - 4星】

角色: MEIKO
分类: 4星
数量: 27

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
146 | 2020-12-20 | 教えて！みんなのクリスマス♪ | 4 | cute | ワンダフルアイディア！ | 聖なる夜に、この歌声を | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no006/card_after_training.png
156 | 2021-01-10 | ３人目の先輩！ | 4 | happy | キラキラなメロディー | 揺れるまま、でも君は前へ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no007/card_after_training.png
203 | 2021-04-11 | 必要な距離 | 4 | cute | 経過観察中 | シークレット・ディスタンス | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no008/card_after_training.png
251 | 2021-07-09 | トーキング・コーヒー・タイム | 4 | cute | 優しい眼差し | Awakening Beat | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no011/card_after_training.png
276 | 2021-08-31 | 企画会議のヒントはうさぎ！？ | 4 | cute | 新生めーちゃんのお月見ライブ！ | ふたり、月うさぎ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no012/card_after_training.png
358 | 2022-01-12 | 泣き声はどこから？ | 4 | cool | たくさんの夢を | POP IN MY HEART!! | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no016/card_after_training.png
442 | 2022-05-31 | 頑張ったあなたへの | 4 | pure | つながりを感じて | 青空に願うユア・ハピネス！ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no018/card_after_training.png
483 | 2022-08-10 | まずは腹筋の強化から！ | 4 | cool | 特訓の先で得るもの | 青空の先、輝きを追いかけて | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no020/card_after_training.png
547 | 2022-11-30 | ファンのひとりとして | 4 | pure | 大切だから想うこと | あの日の夢の、彼方向こうへ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no022/card_after_training.png
626 | 2023-04-11 | 頼もしい温もり | 4 | pure | 見守るビートは強く、優しく | Get over it. | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no025/card_after_training.png
702 | 2023-08-21 | 幸福の語り手 | 4 | happy | きらきらな夢を見守って | あたしたちのハッピーエンド | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no026/card_after_training.png
760 | 2023-09-30 | その名を胸に | 4 | mysterious | たったひとりの主人公 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no030/card_after_training.png
793 | 2023-11-22 | レッツ☆オート三輪 | 4 | mysterious | セカイで鍛えたハンドル捌き！ | 君が主役の物語を | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no032/card_after_training.png
844 | 2023-12-31 | 教えて！志歩先生 | 4 | mysterious | ヒミツの特訓？ | 変わらぬあたたかさの隣で | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no034/card_after_training.png
892 | 2024-03-22 | 大事だからこそ | 4 | happy | 愛情の裏返し | The first concerto | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no036/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no036/card_after_training.png
911 | 2024-04-20 | 私達の在りかた | 4 | happy | 今日は１日給食当番！ | Parallel Harmonies | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no037/card_after_training.png
950 | 2024-06-30 | 『私』の想いを感じて | 4 | cool | 思いがけない一面？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no038/card_after_training.png
983 | 2024-08-17 | 優しい香りと共に | 4 | pure | 『私』の天職 | キミと、セカイの始まりで | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no039/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no039/card_after_training.png
1041 | 2024-11-30 | 私がやるべきこと | 4 | cool | 想いを届かせるために | 傷だらけの手で、私達は | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no042/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no042/card_after_training.png
1124 | 2025-02-20 | 内緒のウィンク！ | 4 | cute | 優しい物語に包まれて | 昔日のRead-aloud | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no044/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no044/card_after_training.png
1176 | 2025-05-23 | レッツ・モアモアトレーニング！ | 4 | happy | メイコのお悩み解決室♪ | Cheer with my Heart! | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no046/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no046/card_after_training.png
1239 | 2025-09-06 | ご馳走いっぱい！ | 4 | happy | 『私』達のその後 | Link the Beats！ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no048/card_after_training.png
1268 | 2025-10-21 | スペシャルエールをお届け！ | 4 | mysterious | お疲れさまパーティー♪ | 交わる色はあの日のままに | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no051/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no051/card_after_training.png
1317 | 2026-01-11 | 守るもの、揺るがすもの | 4 | happy | 健全な衝突 | 覚めない幻想をノックして | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no053/card_after_training.png
1365 | 2026-03-30 | 名探偵MEIKO！？ | 4 | cool | 華麗なる推理 | 残照のInside Direction | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no054/card_after_training.png
1424 | 2026-07-09 | 穏やかな夕暮れ | 4 | mysterious | 饅頭のお味は？ | 褪せない今を、彩って | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no055/card_after_training.png
1445 | 2026-08-17 | 潮騒の狭間に | 4 | cute | ただ見守るだけじゃなく | Again And Again Ambition！ | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res025_no056/card_after_training.png
