【神代類 - 4星】

角色: 神代類
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
119 | 2020-10-31 | 思わぬ指摘 | 4 | happy | 思う存分に | 全力！ワンダーハロウィン！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no005/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no005/card_after_training.png
182 | 2021-02-28 | 内なる烈火 | 4 | mysterious | 笑顔のために | スマイルオブドリーマー | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no008/card_after_training.png
228 | 2021-05-31 | ファンタスティックプランナー | 4 | cute | 最高のキャスト達 | 純白の貴方へ、誓いの歌を！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no010/card_after_training.png
270 | 2021-08-20 | 舞台裏の錬金術師 | 4 | pure | ほんの少しの寂しさ | マーメイドにあこがれて | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no011/card_after_training.png
301 | 2021-10-21 | 在りし日の憧憬 | 4 | happy | ようこそ僕の家へ！ | Revival my dream | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no012/card_after_training.png
349 | 2021-12-31 | 果てのない想像と挑戦 | 4 | cool | 今だから信じられる言葉 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no013/card_after_training.png
412 | 2022-04-11 | その心意気を買って | 4 | cute | 星のひらめきを待って | まばゆい光のステージで | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no015/card_after_training.png
428 | 2022-05-10 | 黄昏の輝き | 4 | cool | そろった役者達 | 白熱！神高応援団！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no016/card_after_training.png
514 | 2022-09-30 | 投げかける言葉は | 4 | pure | みんなでイス係 | この祭に 夕闇色も | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no019/card_after_training.png
522 | 2022-10-21 | 夕風に吹かれて | 4 | cool | たいしたことじゃない話 | カーテンコールに惜別を | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no020/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no020/card_after_training.png
572 | 2023-01-10 | 負けるわけにはいかないね | 4 | mysterious | 心強い味方 | 夢の途中、輝く星たちへ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no021/card_after_training.png
601 | 2023-02-28 | 唐突な試練 | 4 | mysterious | プレゼントには想いを込めて | Never Give Up Cooking！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no022/card_after_training.png
649 | 2023-05-20 | いつだって相談にのるよ | 4 | pure | 後悔するより、できることを | カナリアは窮境に歌う | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no024/card_after_training.png
672 | 2023-06-30 | 心に、１枚の | 4 | happy | 思い出を詰めこめるように | 一期一会な百鬼夜行！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no026/card_after_training.png
